Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Assets,,18478000000,27204000000,15798000000,21116000000,25113000000,13296000000,22935000000,13925000000,26417000000,23922000000
Financial assets,Assets,9888000000,12487000000,8734000000,9896000000,11372000000,7089000000,10700000000,7630000000,11985000000,11042000000
Cash and deposits,Financial assets,179000000,422000000,143000000,212000000,321000000,65000000,184000000,73000000,406000000,187000000
Advances paid,Financial assets,730000000,1590000000,508000000,830000000,1543000000,506000000,1058000000,511000000,1482000000,1364000000
"Investments, loans and placements",Financial assets,3258000000,4024000000,3020000000,2983000000,3153000000,2362000000,3227000000,2657000000,3609000000,3230000000
Other non-equity assets,Financial assets,334000000,370000000,310000000,514000000,511000000,146000000,480000000,170000000,536000000,405000000
Equity,Financial assets,5387000000,6081000000,4753000000,5357000000,5844000000,4010000000,5751000000,4219000000,5954000000,5857000000
Non-financial assets,Assets,8590000000,14718000000,7064000000,11220000000,13741000000,6207000000,12234000000,6295000000,14432000000,12879000000
Land and fixed assets,Non-financial assets,8423000000,14684000000,6902000000,11062000000,13710000000,6084000000,12202000000,6192000000,14398000000,12850000000
Other non-financial assets,Non-financial assets,167000000,34000000,162000000,158000000,32000000,123000000,32000000,103000000,34000000,30000000
