Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Expenses,,3222000000,4916000000,2899000000,3474000000,4459000000,2641000000,4017000000,2801000000,4877000000,4192000000
General public services,Expenses,452000000,497000000,442000000,296000000,390000000,435000000,438000000,467000000,459000000,375000000
Defence,Expenses,0,0,0,0,0,0,0,0,0,0
Public order and safety,Expenses,274000000,404000000,255000000,295000000,365000000,215000000,301000000,223000000,387000000,344000000
Education,Expenses,634000000,965000000,618000000,744000000,879000000,600000000,875000000,618000000,936000000,871000000
Primary and secondary,Education,502000000,776000000,487000000,589000000,721000000,471000000,694000000,483000000,743000000,706000000
University,Education,11000000,12000000,10000000,19000000,7000000,27000000,23000000,16000000,17000000,11000000
Technical and further education,Education,74000000,99000000,75000000,94000000,96000000,72000000,103000000,74000000,103000000,101000000
Other tertiary,Education,0,0,0,0,0,0,0,0,0,0
Other education,Education,48000000,78000000,47000000,42000000,56000000,31000000,55000000,45000000,73000000,53000000
Health,Expenses,749000000,1265000000,677000000,864000000,1110000000,590000000,918000000,655000000,1229000000,1023000000
Acute care institutions,Health,502000000,959000000,453000000,588000000,815000000,359000000,648000000,400000000,930000000,758000000
Other health institutions,Health,8000000,8000000,7000000,8000000,8000000,3000000,6000000,5000000,8000000,5000000
Community health services,Health,142000000,214000000,132000000,151000000,188000000,113000000,166000000,133000000,201000000,167000000
Pharmaceutical,Health,17000000,18000000,14000000,15000000,26000000,7000000,17000000,9000000,25000000,19000000
Other health,Health,80000000,66000000,70000000,102000000,73000000,108000000,80000000,108000000,65000000,74000000
Social security and welfare,Expenses,178000000,226000000,169000000,220000000,249000000,183000000,186000000,180000000,228000000,232000000
Social security,Social security and welfare,0,0,0,0,0,0,0,0,0,0
Welfare services,Social security and welfare,178000000,223000000,169000000,220000000,247000000,183000000,186000000,180000000,226000000,230000000
Other social security and welfare,Social security and welfare,0,2000000,0,0,2000000,0,0,0,2000000,2000000
Housing and community amenities,Expenses,144000000,178000000,144000000,143000000,179000000,146000000,225000000,128000000,199000000,178000000
Housing and community development,Housing and community amenities,80000000,148000000,77000000,122000000,143000000,128000000,165000000,92000000,165000000,121000000
Water supply,Housing and community amenities,3000000,13000000,3000000,2000000,11000000,0,12000000,1000000,14000000,12000000
Sanitation and protection of the environment,Housing and community amenities,57000000,11000000,64000000,9000000,12000000,14000000,37000000,26000000,13000000,35000000
Other community amenities,Housing and community amenities,3000000,6000000,2000000,10000000,13000000,4000000,11000000,9000000,6000000,10000000
Recreation and culture,Expenses,107000000,166000000,79000000,111000000,140000000,95000000,122000000,83000000,184000000,118000000
Recreational facilities and services,Recreation and culture,87000000,98000000,54000000,76000000,97000000,65000000,72000000,50000000,95000000,72000000
Cultural facilities and services,Recreation and culture,19000000,66000000,25000000,35000000,43000000,23000000,50000000,32000000,78000000,46000000
Broadcasting and film production,Recreation and culture,0,1000000,0,0,0,0,0,0,0,0
Other recreation and culture,Recreation and culture,0,1000000,0,0,0,7000000,0,1000000,11000000,0
Fuel and energy,Expenses,0,28000000,0,5000000,18000000,0,14000000,0,27000000,13000000
"Agriculture, forestry and fishing",Expenses,1000000,3000000,1000000,0,3000000,1000000,4000000,3000000,6000000,6000000
"Mining, manufacturing and construction",Expenses,0,16000000,0,13000000,22000000,0,17000000,0,18000000,17000000
Transport and communications,Expenses,211000000,311000000,169000000,200000000,276000000,156000000,243000000,164000000,289000000,272000000
Road transport,Transport and communications,204000000,284000000,155000000,193000000,256000000,144000000,229000000,152000000,264000000,256000000
Water transport,Transport and communications,0,0,0,0,0,0,0,0,0,0
Rail transport,Transport and communications,0,8000000,0,0,0,0,0,0,0,0
Air transport,Transport and communications,0,0,0,0,0,0,0,0,0,0
Communications and other transport,Transport and communications,6000000,19000000,14000000,7000000,19000000,12000000,14000000,12000000,25000000,16000000
Other economic affairs,Expenses,52000000,57000000,47000000,47000000,70000000,42000000,72000000,48000000,59000000,72000000
Nominal interest on superannuation,Expenses,195000000,300000000,173000000,204000000,265000000,105000000,217000000,144000000,264000000,230000000
Public debt transactions,Expenses,67000000,150000000,61000000,70000000,100000000,54000000,73000000,60000000,128000000,91000000
Other purposes,Expenses,52000000,11000000,39000000,174000000,14000000,124000000,24000000,57000000,54000000,11000000
Net acquisition of non-financial assets,Expenses,107000000,341000000,26000000,86000000,379000000,0,287000000,0,409000000,339000000
