Item,Parent,2011-12,2009-10,2010-11
Assets,,129273000000,88852000000,102920000000
Non-Current Assets,Assets,108822000000,63718000000,77640000000
Goodwill,Non-Current Assets,0,0,0
Intangible assets,Non-Current Assets,5112000000,687000000,1456000000
"Property,plant & equipment",Non-Current Assets,95247000000,55576000000,67945000000
Investments in equity accounted units,Non-Current Assets,0,0,0
Inventories,Non-Current Assets,424000000,343000000,363000000
Trade and other receivables,Non-Current Assets,1475000000,1381000000,2093000000
Deferred tax assets,Non-Current Assets,4525000000,4053000000,3993000000
Other financial assets,Non-Current Assets,2039000000,1678000000,1790000000
Current Assets,Assets,20451000000,25134000000,25280000000
Inventories,Current Assets,6233000000,5334000000,6154000000
Trade and other receivables,Current Assets,7704000000,6543000000,8197000000
Tax recoverable,Current Assets,137000000,189000000,273000000
Other financial assets,Current Assets,748000000,612000000,572000000
Cash,Current Assets,4781000000,12456000000,10084000000
Assets held for disposal,Current Assets,848000000,0,0
