Item,Parent,2011-12,2009-10,2010-11
Liabilities,,62188000000,39523000000,45165000000
Current ,Liabilities,22034000000,13042000000,19738000000
Borrowings,Current ,3531000000,2191000000,3519000000
Trade payables,Current ,12024000000,6467000000,9723000000
Tax payable,Current ,2811000000,1685000000,3693000000
Provisions,Current ,2784000000,1899000000,2256000000
Other,Current ,884000000,800000000,547000000
Non-Current,Liabilities,40154000000,26481000000,25427000000
Borrowings,Non-Current,24799000000,13573000000,12388000000
Trade payables,Non-Current,509000000,469000000,555000000
Deferred tax ,Non-Current,5287000000,4320000000,2683000000
Provisions,Non-Current,8914000000,7433000000,9293000000
Other,Non-Current,645000000,686000000,508000000
