Item,Parent,2011-12,2009-10,2010-11
Revenue,,73132000000,53326000000,72270000000
Iron Ore,Revenue,22601000000,11139000000,20412000000
Aluminium,Revenue,4766000000,4353000000,5221000000
Base Metals,Revenue,11596000000,10409000000,14152000000
Diamonds and Speciality Products,Revenue,1326000000,1272000000,1517000000
Stainless Steel,Revenue,2993000000,3617000000,3861000000
Manganese,Revenue,2152000000,2150000000,2423000000
Metallurgical Coal,Revenue,7576000000,6059000000,7573000000
Energy Coal,Revenue,6022000000,4265000000,5507000000
Petroleum,Revenue,12937000000,8782000000,10737000000
Unallocated,Revenue,257000000,752000000,336000000
Other,Revenue,906000000,528000000,531000000
