Item,Parent,2011-12,2012-13,2013-14,2010-11
Assets,,332411000000,352469000000,376601000000,323370000000
Non-financial assets,Assets,0,110284000000,112619000000,0
Other non-financial assets,Non-financial assets,0,795000000,873000000,0
Assets held for sale,Non-financial assets,0,83000000,83000000,0
Heritage & cultural assets,Non-financial assets,0,10451000000,10465000000,0
Biological assets,Non-financial assets,0,37000000,37000000,0
Investment property,Non-financial assets,0,182000000,182000000,0
Intangibles,Non-financial assets,0,5602000000,5712000000,0
Inventories,Non-financial assets,0,7317000000,7206000000,0
"Plant, equipment and infrastructure",Non-financial assets,0,53705000000,54888000000,0
Buildings,Non-financial assets,0,23433000000,24454000000,0
Land,Non-financial assets,0,8680000000,8719000000,0
Financial assets,Assets,0,242184000000,263982000000,0
Equity investments,Financial assets,0,56564000000,60565000000,0
Investments - shares,Equity investments,0,33431000000,34026000000,0
Equity accounted investments,Equity investments,0,330000000,331000000,0
Investments in other public sector entities,Equity investments,0,22803000000,26208000000,0
Other receivables,Financial assets,0,44464000000,46756000000,0
"Investments, loans and placements",Financial assets,0,103278000000,112965000000,0
Advances paid,Financial assets,0,35409000000,41017000000,0
Cash & deposits,Financial assets,0,2470000000,2679000000,0
