Item,Parent,2011-12,2012-13,2013-14,2010-11
Expenses,,373300000000,369800000000,394000000000,349600000000
Other,Expenses,0,8348000000,10008000000,0
Health and Ageing,Expenses,0,55966000000,58257000000,0
Professional Services Review,Health and Ageing,0,5000000,5000000,0
Private Health Insurance Ombudsman,Health and Ageing,0,2000000,2000000,0
Private Health Insurance Administration Council,Health and Ageing,0,426000000,477000000,0
National Health Performance Authority,Health and Ageing,0,32000000,33000000,0
National Health and Medical Research Council,Health and Ageing,0,815000000,917000000,0
National Health Funding Body,Health and Ageing,0,0,4000000,0
National Blood Authority,Health and Ageing,0,1088000000,1137000000,0
Independent Hospital Pricing Authority,Health and Ageing,0,24000000,26000000,0
Health Workface Australia,Health and Ageing,0,213000000,209000000,0
General Practice Education and Training,Health and Ageing,0,206000000,234000000,0
Food Standard Australia New Zealand,Health and Ageing,0,21000000,20000000,0
Cancer Australia,Health and Ageing,0,28000000,30000000,0
Australian Radiation Protection and Nuclear Safety Agency,Health and Ageing,0,24000000,25000000,0
Australian Organ and Tissue Donation and Transplantation Authority,Health and Ageing,0,45000000,45000000,0
Australian National Preventative Health Agency,Health and Ageing,0,66000000,49000000,0
Australian Institute of Health and Welfare,Health and Ageing,0,52000000,52000000,0
Australian Commission on Safety and Quality in Healthcare,Health and Ageing,0,16000000,17000000,0
Aged Care Standards and Accreditation Agency,Health and Ageing,0,38000000,36000000,0
Biosecurity and Emergency Response,Health and Ageing,0,90000000,61000000,0
Acute Care,Health and Ageing,0,1048000000,994000000,0
Public hospitals and information ,Acute Care,0,258000000,156000000,0
Medical indemnity ,Acute Care,0,97000000,100000000,0
Blood and organ donation services,Acute Care,0,692000000,737000000,0
Health Workforce Capacity,Health and Ageing,0,1345000000,1407000000,0
Workforce development and innovation,Health Workforce Capacity,0,311000000,294000000,0
Workforce and rural distribution,Health Workforce Capacity,0,1034000000,1112000000,0
Mental Health,Health and Ageing,0,400000000,519000000,0
Health System Capacity And Quality,Health and Ageing,0,917000000,1031000000,0
Health infrastructure,Health System Capacity And Quality,0,469000000,527000000,0
Research capacity and quality,Health System Capacity And Quality,0,74000000,121000000,0
International policy engagement,Health System Capacity And Quality,0,14000000,14000000,0
Health information,Health System Capacity And Quality,0,34000000,31000000,0
 e-Health implementation ,Health System Capacity And Quality,0,105000000,148000000,0
Chronic disease ï¿½ treatment,Health System Capacity And Quality,0,218000000,188000000,0
Private Health,Health and Ageing,0,5576000000,5410000000,0
Indigenous Health,Health and Ageing,0,750000000,847000000,0
Hearing Services,Health and Ageing,0,416000000,452000000,0
Rural Health,Health and Ageing,0,100000000,106000000,0
Primary Care,Health and Ageing,0,866000000,878000000,0
Primary care practice incentives,Primary Care,0,282000000,209000000,0
"Primary care financing, quality and access",Primary Care,0,576000000,660000000,0
Primary care education and training,Primary Care,0,7000000,8000000,0
Aged Care and Population Ageing,Health and Ageing,0,11500000000,12251000000,0
Ageing and Service Improvement,Aged Care and Population Ageing,0,184000000,222000000,0
Workforce and Quality,Aged Care and Population Ageing,0,253000000,280000000,0
Residential and Flexible Care,Aged Care and Population Ageing,0,8347000000,8849000000,0
Home Care,Aged Care and Population Ageing,0,1161000000,1224000000,0
Home Support,Aged Care and Population Ageing,0,1416000000,1516000000,0
Access and Information,Aged Care and Population Ageing,0,137000000,157000000,0
Access to Medical Services,Health and Ageing,0,18695000000,19249000000,0
Chronic disease - radiation oncology,Access to Medical Services,0,73000000,75000000,0
Pathology services,Access to Medical Services,0,5000000,5000000,0
Diagnostic imaging services ,Access to Medical Services,0,3000000,3000000,0
Targeted assistance - medical ,Access to Medical Services,0,32000000,42000000,0
Medicare services,Access to Medical Services,0,18578000000,19122000000,0
Access to Pharmaceutical Services,Health and Ageing,0,10478000000,10947000000,0
Targeted assistance - aids and appliances,Access to Pharmaceutical Services,0,288000000,308000000,0
Targeted assistance - pharmaceuticals,Access to Pharmaceutical Services,0,154000000,156000000,0
Pharmaceuticals and pharmaceutical services,Access to Pharmaceutical Services,0,9694000000,10108000000,0
Community pharmacy and pharmaceutical awareness,Access to Pharmaceutical Services,0,340000000,373000000,0
Population Health,Health and Ageing,0,671000000,769000000,0
Public health,Population Health,0,39000000,36000000,0
Immunisation,Population Health,0,114000000,147000000,0
Regulatory policy,Population Health,0,156000000,169000000,0
Drug strategy,Population Health,0,236000000,258000000,0
Communicable disease control ,Population Health,0,15000000,25000000,0
"Prevention, early detection and service improvement",Population Health,0,107000000,132000000,0
"Education, Employment & Workplace Relations",Expenses,0,32455000000,36637000000,0
Safe Work Australia,"Education, Employment & Workplace Relations",0,21000000,19000000,0
Office of the Fair Work Building Industry Inspectorate,"Education, Employment & Workplace Relations",0,31000000,25000000,0
"Education, Advice and Compliance Functions",Office of the Fair Work Building Industry Inspectorate,0,31000000,25000000,0
Fair Work Ombudsman,"Education, Employment & Workplace Relations",0,137000000,125000000,0
Education Services and Compliance Activities,Fair Work Ombudsman,0,137000000,125000000,0
Fair Work Commission,"Education, Employment & Workplace Relations",0,76000000,83000000,0
Comcare,"Education, Employment & Workplace Relations",0,448000000,448000000,0
Access to compensation for people with asbestos-related diseases where the Commonwealth has a liability through management of claims.,Comcare,0,37000000,30000000,0
Supporting injured federal workers,Comcare,0,386000000,393000000,0
Provide support to the Seafarers Safety Rehabilitation and Compensation Authority,Supporting injured federal workers,0,1000000,1000000,0
Management of Pre Premium Grants from Portfolio Agencies,Supporting injured federal workers,0,14000000,10000000,0
Management of Premium Claims,Supporting injured federal workers,0,358000000,367000000,0
SRC Act Regulation,Supporting injured federal workers,0,12000000,14000000,0
"Promoting worker health, wellbeing and resilience in federal workplaces",Comcare,0,24000000,24000000,0
Australian Institute for Teaching and School Leadership,"Education, Employment & Workplace Relations",0,15000000,14000000,0
Assistance for quality teaching and learning,Australian Institute for Teaching and School Leadership,0,15000000,14000000,0
"Australian Curriculum, Assessment and Reporting Authority","Education, Employment & Workplace Relations",0,39000000,34000000,0
National Assessment,"Australian Curriculum, Assessment and Reporting Authority",0,20000000,17000000,0
National Data Collection and Reporting,"Australian Curriculum, Assessment and Reporting Authority",0,6000000,6000000,0
National Curriculum,"Australian Curriculum, Assessment and Reporting Authority",0,12000000,10000000,0
"Safer, fairer and more productive workplaces ","Education, Employment & Workplace Relations",0,559000000,467000000,0
Workers Compensation Payments,"Safer, fairer and more productive workplaces ",0,72000000,72000000,0
Workers Compensation Payments,Workers Compensation Payments,0,45000000,42000000,0
Asbestos Compensation Payments,Workers Compensation Payments,0,20000000,23000000,0
Comcare payments,Workers Compensation Payments,0,6000000,6000000,0
Workplace Assistance,"Safer, fairer and more productive workplaces ",0,13000000,16000000,0
Social and Community Workers Education and Information Program,Workplace Assistance,0,0,0,0
Award Modernisation,Workplace Assistance,0,1000000,3000000,0
Centre for Workplace Leadership,Workplace Assistance,0,1000000,3000000,0
International Labour Organisation Subscription,Workplace Assistance,0,8000000,8000000,0
Protected Action Ballots Scheme,Workplace Assistance,0,1000000,1000000,0
Employee Assistance,"Safer, fairer and more productive workplaces ",0,473000000,377000000,0
