Item,Parent,2011-12,2012-13,2013-14,2010-11
Liabilities,,579619000000,513580000000,550059000000,415756000000
Provisions and payables,Liabilities,0,210820000000,215294000000,0
Other provisions and payables,Provisions and payables,0,13961000000,14178000000,0
Grants provisions and payable,Provisions and payables,0,17030000000,15892000000,0
Subsidies provisions and payable,Provisions and payables,0,3216000000,3475000000,0
Personal benefits provisions and payable,Provisions and payables,0,14240000000,13952000000,0
Suppliers payable,Provisions and payables,0,4264000000,4259000000,0
Other employee liabilities,Provisions and payables,0,14600000000,14829000000,0
Superannuation liability,Provisions and payables,0,143509000000,148710000000,0
Interest bearing liabilites,Liabilities,0,302760000000,334765000000,0
Other borrowing,Interest bearing liabilites,0,1134000000,1470000000,0
Loans,Interest bearing liabilites,0,8588000000,11851000000,0
Government securities,Interest bearing liabilites,0,292845000000,321252000000,0
Deposits held,Interest bearing liabilites,0,192000000,192000000,0
