Item,Parent,2011-12,2012-13,2013-14,2010-11
Revenue,,329874000000,350410000000,375993000000,302024000000
Individuals' and other withholding taxes,Revenue,227714000000,236100000000,258160000000,199628000000
Individuals' and other withholding taxation,Individuals' and other withholding taxes,148373000000,156850000000,170800000000,132739000000
Fringe benefits tax,Individuals' and other withholding taxes,3731000000,3860000000,4270000000,3303000000
Company tax,Individuals' and other withholding taxes,66584000000,66000000000,71650000000,56262000000
Superannuation funds,Individuals' and other withholding taxes,7562000000,7680000000,8340000000,6519000000
Petroleum resource rent tax,Individuals' and other withholding taxes,1463000000,1710000000,3100000000,806000000
Indirect Tax,Revenue,82229000000,90197000000,96694000000,81211000000
Carbon pricing mechanism,Indirect Tax,0,4160000000,6265000000,0
Sales taxes,Indirect Tax,47004000000,49068000000,51613000000,47288000000
Goods and services tax,Sales taxes,45861000000,47918000000,50443000000,46083000000
Wine equalisation tax,Sales taxes,708000000,720000000,770000000,722000000
Luxury car tax,Sales taxes,435000000,430000000,400000000,483000000
Excise duty,Indirect Tax,25545000000,25570000000,26560000000,25756000000
Petrol,Excise duty,6036000000,6000000000,5900000000,5892000000
Diesel,Excise duty,8231000000,8600000000,9100000000,7435000000
Beer,Excise duty,1938000000,1950000000,2020000000,1952000000
Tobacco,Excise duty,5449000000,0,0,6387000000
Other excisable products,Excise duty,3891000000,9020000000,9540000000,4089000000
Customs duty,Indirect Tax,6996000000,8460000000,8820000000,5429000000
Other indirect taxation,Indirect Tax,2684000000,2939000000,3436000000,2738000000
Agricultural levies,Other indirect taxation,421000000,463000000,443000000,445000000
Other taxes,Other indirect taxation,2263000000,2476000000,2992000000,2292000000
Non-taxation receipts,Revenue,19931000000,24113000000,21140000000,21185000000
Sales of goods and services,Non-taxation receipts,7778000000,9043000000,8639000000,7522000000
Interest received,Non-taxation receipts,4267000000,3674000000,4074000000,4943000000
Dividends,Non-taxation receipts,1789000000,3186000000,2526000000,3248000000
Other non-taxation receipts,Non-taxation receipts,6098000000,8211000000,5901000000,5472000000
