Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Assets,,287530000000,421737000000,260525000000,320559000000,338148000000,205029000000,326208000000,256376000000,372502000000,325954000000
Financial assets,Assets,210824000000,316096000000,191846000000,237760000000,241455000000,142271000000,239019000000,189105000000,272446000000,234924000000
Cash and deposits,Financial assets,1816000000,3844000000,1154000000,1654000000,2523000000,1808000000,1865000000,2190000000,2094000000,2477000000
Advances paid,Financial assets,33159000000,42956000000,35084000000,31748000000,33962000000,26359000000,28163000000,30143000000,37048000000,30701000000
"Investments, loans and placements",Financial assets,89291000000,117507000000,72604000000,106775000000,98492000000,36085000000,102910000000,49287000000,111098000000,98675000000
Other non-equity assets,Financial assets,42572000000,67405000000,44925000000,47181000000,56467000000,25863000000,54040000000,37147000000,63167000000,52801000000
Equity,Financial assets,43986000000,84383000000,38080000000,50403000000,50010000000,52156000000,52041000000,70337000000,59039000000,50271000000
Non-financial assets,Assets,76706000000,105641000000,68679000000,82799000000,96693000000,62759000000,87189000000,67271000000,100056000000,91030000000
Land and fixed assets,Non-financial assets,76486000000,103089000000,68407000000,82175000000,94477000000,62569000000,85741000000,67051000000,97870000000,89271000000
Other non-financial assets,Non-financial assets,220000000,2552000000,272000000,624000000,2216000000,190000000,1448000000,220000000,2187000000,1759000000
