Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Assets,,198946000000,276303000000,184811000000,204990000000,246364000000,175267000000,228222000000,183039000000,263208000000,245443000000
Financial assets,Assets,96838000000,124174000000,90813000000,94014000000,107164000000,89939000000,103133000000,92631000000,117706000000,114887000000
Cash and deposits,Financial assets,2299000000,9968000000,2432000000,3350000000,6576000000,1465000000,3071000000,2458000000,8967000000,8258000000
Advances paid,Financial assets,1645000000,2338000000,1591000000,1369000000,2263000000,1305000000,1527000000,1597000000,2327000000,1538000000
"Investments, loans and placements",Financial assets,6786000000,15289000000,7862000000,6070000000,8210000000,12655000000,7465000000,14578000000,10117000000,8487000000
Other non-equity assets,Financial assets,6009000000,7700000000,5686000000,6231000000,6947000000,4484000000,7006000000,5020000000,7598000000,6785000000
Equity,Financial assets,80099000000,88879000000,73242000000,76994000000,83167000000,70031000000,84063000000,68978000000,88696000000,89820000000
Non-financial assets,Assets,102108000000,152129000000,93997000000,110976000000,139200000000,85328000000,125089000000,90409000000,145502000000,130556000000
Land and fixed assets,Non-financial assets,100666000000,150207000000,92685000000,109999000000,137825000000,84067000000,124050000000,89366000000,143701000000,129290000000
Other non-financial assets,Non-financial assets,1442000000,1922000000,1312000000,978000000,1375000000,1261000000,1040000000,1042000000,1800000000,1266000000
