Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Expenses,,50969000000,70170000000,48332000000,55983000000,64419000000,41682000000,62603000000,44713000000,67050000000,63474000000
General public services,Expenses,1405000000,1949000000,1320000000,1535000000,2493000000,1154000000,1700000000,1419000000,2405000000,2038000000
Defence,Expenses,0,0,0,0,0,0,0,0,0,0
Public order and safety,Expenses,4964000000,6416000000,4624000000,5373000000,6371000000,3960000000,5721000000,4377000000,6396000000,6113000000
Education,Expenses,12542000000,16713000000,11871000000,13610000000,15476000000,11080000000,15190000000,11477000000,16004000000,15173000000
Primary and secondary,Education,9507000000,12384000000,9019000000,10126000000,11277000000,8372000000,11739000000,8649000000,11753000000,11565000000
University,Education,54000000,0,42000000,39000000,74000000,40000000,59000000,27000000,66000000,91000000
Technical and further education,Education,1537000000,1831000000,1524000000,1632000000,1732000000,1405000000,1649000000,1472000000,1807000000,1709000000
Other tertiary,Education,0,0,0,0,0,0,0,0,0,0
Other education,Education,1444000000,2497000000,1286000000,1813000000,2392000000,1263000000,1743000000,1328000000,2379000000,1807000000
Health,Expenses,12864000000,17648000000,11699000000,13621000000,15905000000,10827000000,14250000000,11008000000,16835000000,15225000000
Acute care institutions,Health,10075000000,13036000000,8423000000,10604000000,11162000000,8249000000,10794000000,8045000000,12082000000,11453000000
Other health institutions,Health,43000000,165000000,362000000,30000000,118000000,310000000,41000000,340000000,140000000,47000000
Community health services,Health,1816000000,2518000000,2063000000,2207000000,2447000000,1896000000,2487000000,2001000000,2435000000,2665000000
Pharmaceutical,Health,162000000,1123000000,201000000,162000000,1340000000,0,188000000,0,1351000000,204000000
Other health,Health,767000000,807000000,650000000,619000000,839000000,371000000,739000000,622000000,827000000,855000000
Social security and welfare,Expenses,3795000000,5180000000,3503000000,4069000000,5120000000,2680000000,4386000000,3091000000,4907000000,4780000000
Social security,Social security and welfare,274000000,413000000,249000000,261000000,379000000,160000000,296000000,258000000,401000000,308000000
Welfare services,Social security and welfare,3218000000,4542000000,2944000000,3640000000,4528000000,2256000000,3913000000,2598000000,4318000000,4284000000
Other social security and welfare,Social security and welfare,302000000,224000000,310000000,168000000,213000000,264000000,178000000,234000000,188000000,187000000
Housing and community amenities,Expenses,2003000000,2249000000,1935000000,2805000000,2199000000,1451000000,3795000000,1761000000,2117000000,2608000000
Housing and community development,Housing and community amenities,1037000000,1424000000,1029000000,1842000000,1075000000,760000000,2903000000,976000000,1185000000,1389000000
Water supply,Housing and community amenities,71000000,45000000,56000000,77000000,82000000,118000000,134000000,123000000,69000000,90000000
Sanitation and protection of the environment,Housing and community amenities,895000000,780000000,850000000,885000000,1041000000,572000000,758000000,662000000,863000000,1129000000
Other community amenities,Housing and community amenities,0,0,0,0,0,0,0,0,0,0
Recreation and culture,Expenses,1137000000,1332000000,1161000000,1213000000,1159000000,898000000,1211000000,959000000,1348000000,1245000000
Recreational facilities and services,Recreation and culture,655000000,965000000,742000000,703000000,718000000,564000000,686000000,565000000,858000000,815000000
Cultural facilities and services,Recreation and culture,473000000,331000000,409000000,502000000,406000000,322000000,515000000,385000000,450000000,393000000
Broadcasting and film production,Recreation and culture,9000000,9000000,9000000,8000000,11000000,12000000,10000000,8000000,11000000,12000000
Other recreation and culture,Recreation and culture,0,28000000,1000000,0,25000000,0,0,0,28000000,25000000
Fuel and energy,Expenses,30000000,28000000,43000000,26000000,27000000,88000000,35000000,111000000,29000000,28000000
"Agriculture, forestry and fishing",Expenses,1125000000,792000000,823000000,777000000,574000000,502000000,954000000,694000000,731000000,833000000
"Mining, manufacturing and construction",Expenses,133000000,181000000,109000000,120000000,193000000,172000000,140000000,138000000,194000000,171000000
Transport and communications,Expenses,5622000000,8734000000,6085000000,6191000000,6792000000,4605000000,7024000000,4932000000,7708000000,6081000000
Road transport,Transport and communications,2808000000,3470000000,2644000000,3054000000,3346000000,2557000000,3384000000,2526000000,3360000000,3121000000
Water transport,Transport and communications,144000000,114000000,136000000,160000000,95000000,103000000,166000000,97000000,170000000,182000000
Rail transport,Transport and communications,1958000000,3906000000,2662000000,2731000000,3054000000,1411000000,3252000000,1706000000,3466000000,2601000000
Air transport,Transport and communications,0,0,0,0,0,0,0,0,0,0
Communications and other transport,Transport and communications,713000000,1245000000,643000000,246000000,297000000,534000000,221000000,603000000,712000000,177000000
Other economic affairs,Expenses,1095000000,1190000000,773000000,1010000000,1192000000,1027000000,954000000,737000000,1080000000,1263000000
Nominal interest on superannuation,Expenses,477000000,1762000000,749000000,705000000,821000000,919000000,951000000,933000000,1378000000,835000000
Public debt transactions,Expenses,1305000000,2231000000,1263000000,1510000000,2066000000,1066000000,1663000000,1190000000,2203000000,1833000000
Other purposes,Expenses,543000000,1282000000,526000000,1042000000,1327000000,353000000,957000000,391000000,1309000000,996000000
Net acquisition of non-financial assets,Expenses,1931000000,2484000000,1847000000,2378000000,2704000000,901000000,3672000000,1497000000,2407000000,4250000000
