Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Assets,,8095000000,16580000000,7510000000,9851000000,14867000000,6148000000,12515000000,6840000000,15981000000,13404000000
Financial assets,Assets,2680000000,5348000000,2318000000,2698000000,4306000000,2560000000,3863000000,3098000000,4916000000,3643000000
Cash and deposits,Financial assets,130000000,651000000,74000000,160000000,378000000,25000000,310000000,56000000,414000000,186000000
Advances paid,Financial assets,155000000,204000000,185000000,129000000,169000000,75000000,134000000,31000000,231000000,143000000
"Investments, loans and placements",Financial assets,1034000000,1545000000,869000000,934000000,1036000000,453000000,1135000000,643000000,1270000000,856000000
Other non-equity assets,Financial assets,186000000,230000000,119000000,127000000,214000000,113000000,130000000,127000000,159000000,101000000
Equity,Financial assets,1176000000,2718000000,1071000000,1348000000,2510000000,1894000000,2155000000,2241000000,2843000000,2356000000
Non-financial assets,Assets,5415000000,11232000000,5192000000,7154000000,10561000000,3588000000,8652000000,3742000000,11065000000,9761000000
Land and fixed assets,Non-financial assets,5415000000,11232000000,5192000000,7154000000,10561000000,3588000000,8652000000,3742000000,11065000000,9761000000
Other non-financial assets,Non-financial assets,0,0,0,0,0,0,0,0,0,0
