Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Expenses,,3670000000,5249000000,3214000000,4209000000,5413000000,2770000000,4693000000,3063000000,5100000000,5272000000
General public services,Expenses,107000000,121000000,111000000,119000000,91000000,215000000,106000000,111000000,117000000,107000000
Defence,Expenses,0,0,0,0,0,0,0,0,0,0
Public order and safety,Expenses,403000000,643000000,366000000,446000000,570000000,288000000,470000000,341000000,618000000,520000000
Education,Expenses,710000000,995000000,679000000,791000000,953000000,565000000,901000000,651000000,988000000,994000000
Primary and secondary,Education,548000000,748000000,517000000,627000000,714000000,403000000,723000000,502000000,750000000,774000000
University,Education,13000000,28000000,19000000,13000000,20000000,21000000,14000000,22000000,28000000,12000000
Technical and further education,Education,74000000,101000000,78000000,70000000,97000000,58000000,77000000,70000000,92000000,116000000
Other tertiary,Education,32000000,15000000,31000000,30000000,19000000,31000000,31000000,27000000,15000000,21000000
Other education,Education,43000000,103000000,33000000,51000000,102000000,51000000,56000000,28000000,104000000,71000000
Health,Expenses,719000000,1275000000,642000000,813000000,1141000000,556000000,899000000,593000000,1161000000,1037000000
Acute care institutions,Health,450000000,844000000,410000000,524000000,715000000,291000000,574000000,378000000,763000000,631000000
Other health institutions,Health,9000000,11000000,9000000,13000000,15000000,9000000,13000000,8000000,13000000,15000000
Community health services,Health,181000000,329000000,161000000,213000000,317000000,134000000,236000000,149000000,301000000,290000000
Pharmaceutical,Health,25000000,42000000,20000000,26000000,34000000,7000000,29000000,19000000,36000000,30000000
Other health,Health,53000000,49000000,41000000,36000000,61000000,114000000,46000000,39000000,48000000,69000000
Social security and welfare,Expenses,169000000,332000000,175000000,205000000,352000000,101000000,231000000,161000000,340000000,280000000
Social security,Social security and welfare,0,0,0,0,0,1000000,0,0,0,0
Welfare services,Social security and welfare,168000000,330000000,175000000,203000000,349000000,100000000,229000000,161000000,338000000,278000000
Other social security and welfare,Social security and welfare,1000000,3000000,0,2000000,2000000,0,2000000,0,2000000,2000000
Housing and community amenities,Expenses,351000000,498000000,294000000,493000000,470000000,139000000,471000000,261000000,573000000,526000000
Housing and community development,Housing and community amenities,298000000,431000000,234000000,352000000,394000000,136000000,396000000,201000000,482000000,421000000
Water supply,Housing and community amenities,22000000,39000000,12000000,58000000,39000000,2000000,37000000,12000000,42000000,48000000
Sanitation and protection of the environment,Housing and community amenities,28000000,29000000,49000000,81000000,37000000,2000000,37000000,48000000,49000000,52000000
Other community amenities,Housing and community amenities,3000000,0,0,2000000,0,0,1000000,0,0,5000000
Recreation and culture,Expenses,118000000,192000000,137000000,171000000,176000000,140000000,148000000,151000000,193000000,182000000
Recreational facilities and services,Recreation and culture,57000000,105000000,50000000,109000000,71000000,49000000,68000000,52000000,113000000,82000000
Cultural facilities and services,Recreation and culture,60000000,78000000,84000000,60000000,97000000,88000000,78000000,96000000,73000000,88000000
Broadcasting and film production,Recreation and culture,1000000,1000000,0,1000000,1000000,0,1000000,0,1000000,1000000
Other recreation and culture,Recreation and culture,0,9000000,2000000,1000000,6000000,3000000,1000000,2000000,6000000,11000000
Fuel and energy,Expenses,192000000,110000000,114000000,169000000,111000000,50000000,103000000,130000000,111000000,119000000
"Agriculture, forestry and fishing",Expenses,62000000,77000000,42000000,65000000,59000000,50000000,58000000,42000000,69000000,60000000
"Mining, manufacturing and construction",Expenses,17000000,28000000,25000000,24000000,23000000,113000000,33000000,23000000,24000000,23000000
Transport and communications,Expenses,186000000,263000000,191000000,235000000,261000000,94000000,234000000,191000000,243000000,242000000
Road transport,Transport and communications,145000000,201000000,158000000,188000000,211000000,67000000,179000000,157000000,182000000,178000000
Water transport,Transport and communications,4000000,15000000,4000000,5000000,5000000,2000000,7000000,4000000,17000000,4000000
Rail transport,Transport and communications,4000000,4000000,4000000,4000000,4000000,8000000,4000000,4000000,4000000,22000000
Air transport,Transport and communications,3000000,7000000,5000000,8000000,6000000,1000000,10000000,5000000,5000000,6000000
Communications and other transport,Transport and communications,29000000,36000000,21000000,29000000,35000000,17000000,34000000,21000000,34000000,33000000
Other economic affairs,Expenses,120000000,139000000,112000000,165000000,175000000,78000000,159000000,92000000,133000000,134000000
Nominal interest on superannuation,Expenses,127000000,128000000,105000000,134000000,141000000,93000000,132000000,96000000,114000000,134000000
Public debt transactions,Expenses,152000000,210000000,139000000,135000000,166000000,129000000,135000000,117000000,184000000,143000000
Other purposes,Expenses,94000000,15000000,11000000,34000000,37000000,133000000,32000000,12000000,14000000,26000000
Net acquisition of non-financial assets,Expenses,143000000,221000000,71000000,212000000,688000000,27000000,582000000,91000000,218000000,745000000
