Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Assets,,192340000000,249704000000,148767000000,228664000000,239707000000,118981000000,227268000000,132497000000,251073000000,233747000000
Financial assets,Assets,58859000000,75661000000,55069000000,62803000000,63484000000,44969000000,58580000000,50826000000,69814000000,62556000000
Cash and deposits,Financial assets,3121000000,897000000,1049000000,2848000000,865000000,2584000000,904000000,1629000000,838000000,635000000
Advances paid,Financial assets,560000000,705000000,908000000,579000000,700000000,182000000,575000000,215000000,650000000,602000000
"Investments, loans and placements",Financial assets,25749000000,35171000000,27501000000,26624000000,34239000000,19867000000,28247000000,23955000000,34339000000,33352000000
Other non-equity assets,Financial assets,3619000000,5417000000,3080000000,4080000000,4943000000,5013000000,4320000000,2917000000,5589000000,5296000000
Equity,Financial assets,25809000000,33470000000,22533000000,28671000000,22737000000,17322000000,24534000000,22109000000,28397000000,22671000000
Non-financial assets,Assets,133481000000,174043000000,93698000000,165861000000,176223000000,74012000000,168688000000,81672000000,181259000000,171191000000
Land and fixed assets,Non-financial assets,133436000000,173994000000,93680000000,165834000000,176172000000,74012000000,168647000000,81672000000,181143000000,171138000000
Other non-financial assets,Non-financial assets,46000000,49000000,18000000,27000000,51000000,0,42000000,0,116000000,53000000
