Item,Parent,2011-12,2009-10,2010-11
Liabilities,,59552000000,48261000000,60337000000
Current ,Liabilities,13821000000,12876000000,14966000000
Borrowings,Current ,2228000000,2416000000,1447000000
Trade payables,Current ,9244000000,6570000000,9381000000
Tax payable,Current ,827000000,2773000000,2651000000
Provisions,Current ,1522000000,1117000000,1487000000
Non-Current,Liabilities,45731000000,35385000000,45371000000
Borrowings,Non-Current,24591000000,13693000000,20357000000
Trade payables,Non-Current,539000000,879000000,719000000
Tax payable,Non-Current,383000000,417000000,382000000
Deferred tax ,Non-Current,4736000000,5222000000,6210000000
Provisions,Non-Current,15069000000,13367000000,17670000000
Liabilities of units for sale,Non-Current,413000000,1807000000,33000000
