Item,Parent,2011-12,2012-13,2010-11
expenses,,1356744000000,1337149000000,1354359000000
Canada                        ,expenses,23294000000,22382000000,22773000000
USA                           ,expenses,711402000000,668841000000,720386000000
"China, P. R.                  ",expenses,146154000000,157603000000,136467000000
Indonesia                     ,expenses,5705000000,7048000000,5092000000
Japan                         ,expenses,59572000000,59242000000,59003000000
"Korea, South                  ",expenses,30884000000,31484000000,29912000000
Singapore                     ,expenses,9218000000,9249000000,9250000000
Taiwan                        ,expenses,9998000000,10513000000,9903000000
India                         ,expenses,49634000000,48255000000,49159000000
Pakistan                      ,expenses,6547000000,6630000000,6251000000
Australia                     ,expenses,26610000000,25555000000,27006000000
New Zealand                   ,expenses,1792000000,1809000000,1838000000
Finland                       ,expenses,3751000000,3856000000,3692000000
France                        ,expenses,62741000000,62582000000,66251000000
Germany                       ,expenses,48164000000,48617000000,49692000000
Russia/USSR,expenses,78330000000,90646000000,72918000000
Switzerland                   ,expenses,4974000000,5136000000,4844000000
Turkey                        ,expenses,17690000000,17906000000,16976000000
UK                            ,expenses,60284000000,59795000000,62946000000
