Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Assets,,36702000000,63413000000,33949000000,41056000000,60721000000,29783000000,55059000000,32424000000,61599000000,61182000000
Financial assets,Assets,20541000000,24814000000,19930000000,22460000000,24936000000,17277000000,25372000000,18567000000,23978000000,27524000000
Cash and deposits,Financial assets,2760000000,1104000000,2384000000,3084000000,916000000,1960000000,3277000000,2210000000,1113000000,3675000000
Advances paid,Financial assets,1430000000,870000000,1520000000,1419000000,1341000000,1322000000,1394000000,1490000000,969000000,1352000000
"Investments, loans and placements",Financial assets,134000000,247000000,119000000,140000000,200000000,170000000,163000000,180000000,226000000,189000000
Other non-equity assets,Financial assets,542000000,733000000,514000000,659000000,683000000,432000000,766000000,498000000,801000000,661000000
Equity,Financial assets,15675000000,21860000000,15394000000,17159000000,21796000000,13391000000,19771000000,14190000000,20869000000,21646000000
Non-financial assets,Assets,16161000000,38599000000,14018000000,18595000000,35785000000,12506000000,29687000000,13857000000,37621000000,33658000000
Land and fixed assets,Non-financial assets,16138000000,38593000000,14014000000,18588000000,35779000000,12411000000,29665000000,13840000000,37616000000,33657000000
Other non-financial assets,Non-financial assets,23000000,5000000,4000000,7000000,6000000,95000000,22000000,17000000,5000000,2000000
