Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Assets,,16169000000,18205000000,14437000000,16872000000,18163000000,12511000000,17341000000,13424000000,18249000000,16858000000
Financial assets,Assets,6264000000,7247000000,5497000000,6669000000,7273000000,4816000000,6411000000,4781000000,7026000000,6399000000
Cash and deposits,Financial assets,1306000000,1309000000,740000000,1227000000,1252000000,623000000,966000000,607000000,1298000000,628000000
Advances paid,Financial assets,27000000,49000000,31000000,40000000,52000000,42000000,50000000,56000000,48000000,54000000
"Investments, loans and placements",Financial assets,12000000,0,13000000,8000000,0,10000000,6000000,2000000,0,3000000
Other non-equity assets,Financial assets,1146000000,1333000000,1109000000,1198000000,1406000000,334000000,1128000000,1039000000,1279000000,1239000000
Equity,Financial assets,3773000000,4557000000,3603000000,4195000000,4563000000,3807000000,4262000000,3078000000,4401000000,4476000000
Non-financial assets,Assets,9905000000,10957000000,8940000000,10203000000,10891000000,7695000000,10930000000,8642000000,11222000000,10459000000
Land and fixed assets,Non-financial assets,9905000000,10957000000,8578000000,10203000000,10891000000,7633000000,10930000000,8642000000,11222000000,10459000000
Other non-financial assets,Non-financial assets,0,0,362000000,0,0,62000000,0,0,0,0
