Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Expenses,,3898000000,5069000000,3657000000,4385000000,4954000000,3262000000,4899000000,3604000000,4867000000,5211000000
General public services,Expenses,287000000,193000000,273000000,254000000,201000000,270000000,201000000,328000000,228000000,205000000
Defence,Expenses,0,0,0,0,0,0,0,0,0,0
Public order and safety,Expenses,346000000,430000000,318000000,374000000,456000000,297000000,405000000,299000000,444000000,436000000
Education,Expenses,979000000,1293000000,948000000,1095000000,1214000000,793000000,1260000000,924000000,1254000000,1285000000
Primary and secondary,Education,781000000,1012000000,775000000,850000000,989000000,647000000,973000000,745000000,1001000000,1030000000
University,Education,1000000,0,1000000,1000000,1000000,1000000,1000000,8000000,0,1000000
Technical and further education,Education,123000000,187000000,104000000,155000000,138000000,86000000,202000000,109000000,166000000,152000000
Other tertiary,Education,0,1000000,0,1000000,1000000,0,0,0,1000000,1000000
Other education,Education,74000000,93000000,68000000,89000000,86000000,57000000,83000000,62000000,86000000,102000000
Health,Expenses,964000000,1479000000,944000000,1101000000,1331000000,723000000,1212000000,890000000,1466000000,1295000000
Acute care institutions,Health,652000000,1014000000,715000000,799000000,965000000,422000000,885000000,570000000,1030000000,940000000
Other health institutions,Health,27000000,52000000,21000000,28000000,33000000,20000000,32000000,16000000,58000000,36000000
Community health services,Health,177000000,377000000,177000000,215000000,252000000,211000000,228000000,220000000,338000000,247000000
Pharmaceutical,Health,0,2000000,0,0,1000000,29000000,0,48000000,1000000,1000000
Other health,Health,108000000,34000000,31000000,59000000,79000000,41000000,67000000,37000000,39000000,71000000
Social security and welfare,Expenses,287000000,406000000,257000000,332000000,388000000,197000000,341000000,209000000,316000000,378000000
Social security,Social security and welfare,0,10000000,0,0,2000000,0,4000000,0,14000000,3000000
Welfare services,Social security and welfare,286000000,396000000,257000000,332000000,383000000,197000000,324000000,209000000,301000000,369000000
Other social security and welfare,Social security and welfare,0,0,0,0,3000000,0,13000000,0,0,5000000
Housing and community amenities,Expenses,177000000,219000000,148000000,205000000,193000000,165000000,194000000,145000000,202000000,198000000
Housing and community development,Housing and community amenities,141000000,178000000,132000000,157000000,154000000,156000000,144000000,131000000,162000000,162000000
Water supply,Housing and community amenities,0,0,0,0,0,0,0,0,0,0
Sanitation and protection of the environment,Housing and community amenities,36000000,41000000,16000000,48000000,39000000,9000000,50000000,14000000,40000000,36000000
Other community amenities,Housing and community amenities,0,0,0,0,0,0,0,0,0,0
Recreation and culture,Expenses,119000000,187000000,131000000,138000000,181000000,123000000,178000000,103000000,195000000,185000000
Recreational facilities and services,Recreation and culture,58000000,123000000,81000000,77000000,112000000,51000000,111000000,38000000,125000000,89000000
Cultural facilities and services,Recreation and culture,52000000,62000000,48000000,54000000,62000000,45000000,66000000,46000000,63000000,67000000
Broadcasting and film production,Recreation and culture,1000000,1000000,1000000,2000000,1000000,0,1000000,0,2000000,2000000
Other recreation and culture,Recreation and culture,7000000,0,0,5000000,7000000,26000000,0,19000000,6000000,27000000
Fuel and energy,Expenses,2000000,2000000,2000000,3000000,2000000,1000000,3000000,1000000,1000000,2000000
"Agriculture, forestry and fishing",Expenses,70000000,131000000,83000000,123000000,128000000,67000000,107000000,79000000,104000000,63000000
"Mining, manufacturing and construction",Expenses,10000000,6000000,11000000,8000000,7000000,3000000,8000000,6000000,12000000,9000000
Transport and communications,Expenses,222000000,280000000,192000000,246000000,249000000,259000000,251000000,227000000,275000000,250000000
Road transport,Transport and communications,201000000,249000000,184000000,202000000,226000000,247000000,221000000,222000000,249000000,231000000
Water transport,Transport and communications,1000000,1000000,2000000,1000000,1000000,7000000,2000000,1000000,2000000,1000000
Rail transport,Transport and communications,21000000,25000000,4000000,38000000,19000000,5000000,27000000,4000000,19000000,14000000
Air transport,Transport and communications,0,0,0,0,0,0,0,0,0,0
Communications and other transport,Transport and communications,0,5000000,2000000,5000000,4000000,0,0,0,4000000,4000000
Other economic affairs,Expenses,157000000,110000000,142000000,127000000,130000000,144000000,144000000,135000000,117000000,127000000
Nominal interest on superannuation,Expenses,163000000,252000000,148000000,193000000,239000000,115000000,208000000,138000000,178000000,232000000
Public debt transactions,Expenses,20000000,12000000,25000000,16000000,14000000,49000000,18000000,27000000,14000000,14000000
Other purposes,Expenses,146000000,75000000,69000000,149000000,139000000,26000000,59000000,56000000,164000000,110000000
Net acquisition of non-financial assets,Expenses,0,0,0,21000000,79000000,32000000,310000000,37000000,0,421000000
