Item,Parent,2008-09,2011-12,2009-10,2010-11
Liabilities,,27281000000,27836000000,26274000000,25621000000
Current ,Liabilities,7752000000,10684000000,8682000000,8990000000
Borrowings,Current ,1979000000,3306000000,2540000000,1990000000
Trade payables,Current ,3734000000,4131000000,3843000000,4093000000
Tax payable,Current ,262000000,731000000,335000000,404000000
Provisions,Current ,495000000,942000000,389000000,846000000
Revenue received in advance,Current ,1171000000,1170000000,1102000000,1018000000
Derivative financial liabilities,Current ,111000000,299000000,384000000,634000000
Other,Current ,0,105000000,89000000,5000000
Non-Current,Liabilities,19529000000,17152000000,17592000000,16631000000
Borrowings,Non-Current,15344000000,11958000000,12370000000,12178000000
Derivative financial liabilities,Non-Current,819000000,2349000000,1518000000,1799000000
Provisions,Non-Current,761000000,264000000,727000000,244000000
Defined Benefit Liability,Non-Current,414000000,831000000,464000000,205000000
Deferred tax,Non-Current,1593000000,1107000000,1927000000,1730000000
Revenue received in advance,Non-Current,353000000,469000000,338000000,298000000
Other,Non-Current,245000000,174000000,248000000,177000000
