Item,Parent,2008-09,2011-12,2009-10,2010-11
Revenue,,25681000000,25637000000,25096000000,25431000000
Services,Revenue,12574000000,11410000000,11864000000,11539000000
Sale of Goods,Revenue,1159000000,1854000000,1223000000,1690000000
Rent of network facilities,Revenue,9149000000,10120000000,9328000000,9572000000
Construction contracts,Revenue,230000000,229000000,233000000,273000000
Advertising & directory,Revenue,2259000000,1619000000,2165000000,1909000000
FOXTEL distribution,Revenue,100000000,108000000,60000000,70000000
Rent from property,Revenue,36000000,28000000,44000000,40000000
Miscellaneous ,Revenue,107000000,135000000,112000000,211000000
Interest,Revenue,67000000,134000000,67000000,127000000
