Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Assets,,120857000000,205153000000,110319000000,159282000000,190402000000,98548000000,166125000000,103530000000,199301000000,177687000000
Financial assets,Assets,54859000000,100086000000,50202000000,70867000000,91416000000,44552000000,75560000000,46882000000,97208000000,82608000000
Cash and deposits,Financial assets,2975000000,4501000000,3044000000,2846000000,4600000000,1803000000,3231000000,2698000000,3962000000,3668000000
Advances paid,Financial assets,726000000,4550000000,676000000,269000000,301000000,427000000,278000000,644000000,4572000000,290000000
"Investments, loans and placements",Financial assets,2322000000,3118000000,2058000000,2551000000,2622000000,2262000000,2651000000,2162000000,3383000000,2368000000
Other non-equity assets,Financial assets,2837000000,5392000000,3481000000,3477000000,3962000000,2525000000,3128000000,2483000000,5571000000,4336000000
Equity,Financial assets,45999000000,82525000000,40943000000,61724000000,79931000000,37535000000,66272000000,38895000000,79720000000,71948000000
Non-financial assets,Assets,65998000000,105067000000,60117000000,88415000000,98986000000,53996000000,90565000000,56648000000,102093000000,95079000000
Land and fixed assets,Non-financial assets,65759000000,104771000000,57302000000,88027000000,98785000000,51852000000,90184000000,54185000000,101778000000,94807000000
Other non-financial assets,Non-financial assets,239000000,296000000,2815000000,388000000,201000000,2144000000,381000000,2463000000,315000000,273000000
