Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Expenses,,36856000000,51540000000,35166000000,40708000000,49451000000,29441000000,46973000000,32408000000,51376000000,48290000000
General public services,Expenses,296000000,1125000000,257000000,519000000,1159000000,485000000,678000000,857000000,1146000000,998000000
Defence,Expenses,0,0,0,0,0,0,0,0,0,0
Public order and safety,Expenses,3885000000,5274000000,3718000000,4253000000,4751000000,2808000000,4125000000,3236000000,4954000000,4463000000
Education,Expenses,9594000000,12931000000,8934000000,10551000000,12483000000,7934000000,11880000000,8377000000,12649000000,12223000000
Primary and secondary,Education,7037000000,9313000000,6720000000,7811000000,8835000000,5854000000,8894000000,6238000000,9032000000,8873000000
University,Education,95000000,114000000,99000000,108000000,96000000,73000000,103000000,78000000,139000000,113000000
Technical and further education,Education,1592000000,2225000000,1350000000,1718000000,2446000000,1357000000,1924000000,1446000000,2395000000,2183000000
Other tertiary,Education,0,0,0,0,0,0,0,0,0,0
Other education,Education,870000000,1279000000,765000000,914000000,1107000000,650000000,958000000,615000000,1084000000,1053000000
Health,Expenses,9726000000,13602000000,8998000000,10578000000,12544000000,7715000000,11533000000,8293000000,12976000000,12013000000
Acute care institutions,Health,7365000000,10163000000,6958000000,7945000000,9329000000,6027000000,8819000000,6435000000,8805000000,9031000000
Other health institutions,Health,45000000,83000000,40000000,45000000,73000000,33000000,62000000,34000000,70000000,63000000
Community health services,Health,1441000000,2047000000,1311000000,1518000000,1944000000,1059000000,1705000000,1187000000,3255000000,1861000000
Pharmaceutical,Health,109000000,327000000,102000000,118000000,214000000,75000000,176000000,80000000,36000000,186000000
Other health,Health,766000000,981000000,587000000,952000000,983000000,521000000,770000000,556000000,810000000,872000000
Social security and welfare,Expenses,2818000000,4093000000,2655000000,3015000000,3734000000,2329000000,3255000000,2439000000,3835000000,3488000000
Social security,Social security and welfare,296000000,505000000,121000000,318000000,271000000,43000000,293000000,12000000,293000000,246000000
Welfare services,Social security and welfare,2521000000,3589000000,2533000000,2696000000,3462000000,2286000000,2961000000,2427000000,3542000000,3242000000
Other social security and welfare,Social security and welfare,0,0,0,0,0,0,0,0,0,0
Housing and community amenities,Expenses,2321000000,2071000000,1950000000,2375000000,2960000000,1520000000,2859000000,1520000000,2010000000,2751000000
Housing and community development,Housing and community amenities,1460000000,1480000000,1330000000,1692000000,2123000000,998000000,2085000000,1013000000,1283000000,2002000000
Water supply,Housing and community amenities,226000000,151000000,228000000,218000000,189000000,182000000,171000000,165000000,208000000,195000000
Sanitation and protection of the environment,Housing and community amenities,328000000,432000000,290000000,374000000,632000000,250000000,445000000,240000000,504000000,467000000
Other community amenities,Housing and community amenities,307000000,8000000,102000000,91000000,16000000,90000000,158000000,103000000,15000000,87000000
Recreation and culture,Expenses,714000000,687000000,745000000,798000000,830000000,644000000,818000000,828000000,837000000,804000000
Recreational facilities and services,Recreation and culture,319000000,297000000,451000000,324000000,344000000,379000000,359000000,551000000,344000000,330000000
Cultural facilities and services,Recreation and culture,395000000,390000000,294000000,474000000,486000000,265000000,459000000,277000000,493000000,474000000
Broadcasting and film production,Recreation and culture,0,0,0,0,0,0,0,0,0,0
Other recreation and culture,Recreation and culture,0,0,0,0,0,0,0,0,0,0
Fuel and energy,Expenses,19000000,123000000,85000000,19000000,29000000,48000000,21000000,63000000,0,28000000
"Agriculture, forestry and fishing",Expenses,575000000,355000000,424000000,502000000,444000000,276000000,509000000,264000000,488000000,480000000
"Mining, manufacturing and construction",Expenses,27000000,0,0,20000000,0,29000000,33000000,67000000,0,22000000
Transport and communications,Expenses,3847000000,5367000000,3583000000,4063000000,5471000000,3004000000,4580000000,3189000000,5470000000,4993000000
Road transport,Transport and communications,1745000000,2187000000,1472000000,1951000000,2175000000,1629000000,1945000000,1377000000,2055000000,2070000000
Water transport,Transport and communications,15000000,25000000,14000000,12000000,33000000,13000000,13000000,12000000,26000000,36000000
Rail transport,Transport and communications,1882000000,3060000000,1929000000,1875000000,2901000000,1282000000,2402000000,1634000000,3113000000,2578000000
Air transport,Transport and communications,0,0,0,0,0,0,0,0,0,0
Communications and other transport,Transport and communications,205000000,95000000,167000000,225000000,363000000,81000000,220000000,166000000,277000000,308000000
Other economic affairs,Expenses,392000000,1105000000,379000000,471000000,782000000,349000000,554000000,389000000,844000000,671000000
Nominal interest on superannuation,Expenses,330000000,1052000000,419000000,610000000,809000000,820000000,867000000,480000000,1079000000,932000000
Public debt transactions,Expenses,439000000,2138000000,459000000,642000000,1243000000,426000000,843000000,505000000,1775000000,986000000
Other purposes,Expenses,876000000,133000000,918000000,618000000,196000000,643000000,1435000000,694000000,796000000,679000000
Net acquisition of non-financial assets,Expenses,998000000,1482000000,1645000000,1673000000,2017000000,411000000,2984000000,1207000000,2518000000,2759000000
