Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Assets,,103852000000,142901000000,85957000000,120920000000,135931000000,60144000000,125136000000,68057000000,138855000000,130935000000
Financial assets,Assets,39160000000,61281000000,34382000000,51281000000,59641000000,24180000000,55489000000,27659000000,60950000000,56779000000
Cash and deposits,Financial assets,497000000,692000000,394000000,380000000,840000000,350000000,586000000,378000000,688000000,698000000
Advances paid,Financial assets,824000000,752000000,840000000,804000000,763000000,934000000,796000000,910000000,753000000,782000000
"Investments, loans and placements",Financial assets,3970000000,3904000000,3287000000,4168000000,6200000000,1916000000,5174000000,3380000000,5722000000,4713000000
Other non-equity assets,Financial assets,1972000000,3476000000,1295000000,1763000000,2830000000,1086000000,2311000000,1117000000,3217000000,2744000000
Equity,Financial assets,31897000000,52456000000,28566000000,44167000000,49008000000,19894000000,46621000000,21874000000,50570000000,47843000000
Non-financial assets,Assets,64692000000,81620000000,51574000000,69639000000,76290000000,35964000000,69647000000,40398000000,77905000000,74156000000
Land and fixed assets,Non-financial assets,64357000000,81186000000,51279000000,69259000000,75891000000,35864000000,69222000000,40187000000,77441000000,73715000000
Other non-financial assets,Non-financial assets,336000000,434000000,295000000,380000000,400000000,100000000,426000000,211000000,464000000,441000000
