Item,Parent,2007-08,2013-14,2006-07,2008-09,2011-12,2004-05,2009-10,2005-06,2012-13,2010-11
Expenses,,17951000000,28812000000,15916000000,20198000000,26675000000,13350000000,22976000000,14360000000,27323000000,23945000000
General public services,Expenses,256000000,353000000,350000000,369000000,297000000,263000000,385000000,281000000,411000000,241000000
Defence,Expenses,0,0,0,0,0,0,0,0,0,0
Public order and safety,Expenses,1977000000,3088000000,1788000000,2187000000,3013000000,1423000000,2456000000,1598000000,2940000000,2716000000
Education,Expenses,4359000000,6451000000,3991000000,4884000000,5870000000,3743000000,5650000000,3815000000,6154000000,5699000000
Primary and secondary,Education,3621000000,5195000000,3341000000,4088000000,4759000000,3066000000,4719000000,3179000000,4955000000,4678000000
University,Education,23000000,17000000,23000000,24000000,15000000,115000000,29000000,56000000,17000000,22000000
Technical and further education,Education,401000000,624000000,374000000,457000000,577000000,348000000,510000000,345000000,618000000,547000000
Other tertiary,Education,0,0,0,0,0,0,0,0,0,0
Other education,Education,314000000,615000000,253000000,315000000,518000000,213000000,392000000,235000000,565000000,452000000
Health,Expenses,4200000000,7336000000,3721000000,4722000000,6268000000,3196000000,5028000000,3527000000,6903000000,5546000000
Acute care institutions,Health,2817000000,4986000000,2493000000,3176000000,4130000000,2117000000,3271000000,2269000000,4650000000,3608000000
Other health institutions,Health,135000000,153000000,131000000,156000000,201000000,105000000,161000000,116000000,156000000,188000000
Community health services,Health,610000000,1029000000,537000000,698000000,923000000,525000000,783000000,593000000,1035000000,868000000
Pharmaceutical,Health,296000000,542000000,218000000,332000000,517000000,172000000,421000000,245000000,531000000,461000000
Other health,Health,342000000,626000000,342000000,359000000,496000000,278000000,392000000,305000000,531000000,421000000
Social security and welfare,Expenses,925000000,1931000000,816000000,1127000000,1677000000,593000000,1263000000,634000000,1787000000,1504000000
Social security,Social security and welfare,0,0,0,0,0,0,0,0,0,0
Welfare services,Social security and welfare,925000000,1931000000,816000000,1127000000,1677000000,593000000,1263000000,634000000,1787000000,1504000000
Other social security and welfare,Social security and welfare,0,0,0,0,0,0,0,0,0,0
Housing and community amenities,Expenses,1389000000,1870000000,1128000000,1866000000,1983000000,949000000,1982000000,1067000000,1534000000,1611000000
Housing and community development,Housing and community amenities,724000000,1068000000,527000000,984000000,1208000000,492000000,1191000000,545000000,878000000,796000000
Water supply,Housing and community amenities,438000000,672000000,403000000,533000000,547000000,325000000,588000000,376000000,527000000,588000000
Sanitation and protection of the environment,Housing and community amenities,160000000,108000000,127000000,100000000,95000000,75000000,102000000,83000000,106000000,102000000
Other community amenities,Housing and community amenities,67000000,22000000,71000000,250000000,133000000,57000000,101000000,63000000,24000000,125000000
Recreation and culture,Expenses,489000000,802000000,443000000,542000000,740000000,411000000,616000000,397000000,764000000,660000000
Recreational facilities and services,Recreation and culture,338000000,570000000,301000000,364000000,501000000,287000000,421000000,275000000,537000000,451000000
Cultural facilities and services,Recreation and culture,150000000,218000000,142000000,178000000,226000000,124000000,183000000,122000000,212000000,196000000
Broadcasting and film production,Recreation and culture,0,14000000,0,0,13000000,0,12000000,0,15000000,13000000
Other recreation and culture,Recreation and culture,0,0,0,0,0,0,0,0,0,0
Fuel and energy,Expenses,91000000,708000000,97000000,120000000,528000000,90000000,312000000,107000000,543000000,442000000
"Agriculture, forestry and fishing",Expenses,423000000,348000000,378000000,418000000,400000000,305000000,354000000,388000000,376000000,346000000
"Mining, manufacturing and construction",Expenses,247000000,216000000,196000000,211000000,194000000,132000000,154000000,145000000,191000000,169000000
Transport and communications,Expenses,1503000000,2118000000,1478000000,1476000000,1871000000,1183000000,1535000000,1298000000,1929000000,1692000000
Road transport,Transport and communications,954000000,1482000000,860000000,876000000,1143000000,732000000,894000000,798000000,1346000000,1021000000
Water transport,Transport and communications,21000000,24000000,35000000,25000000,28000000,19000000,25000000,18000000,24000000,23000000
Rail transport,Transport and communications,111000000,43000000,85000000,78000000,42000000,103000000,82000000,100000000,45000000,66000000
Air transport,Transport and communications,19000000,11000000,5000000,22000000,20000000,3000000,19000000,4000000,12000000,18000000
Communications and other transport,Transport and communications,397000000,558000000,495000000,475000000,638000000,325000000,515000000,378000000,502000000,564000000
Other economic affairs,Expenses,370000000,785000000,353000000,380000000,753000000,288000000,677000000,318000000,719000000,667000000
Nominal interest on superannuation,Expenses,359000000,297000000,289000000,330000000,317000000,294000000,338000000,242000000,369000000,317000000
Public debt transactions,Expenses,120000000,492000000,112000000,118000000,371000000,155000000,187000000,120000000,442000000,297000000
Other purposes,Expenses,2000000,168000000,8000000,132000000,165000000,5000000,138000000,4000000,158000000,159000000
Net acquisition of non-financial assets,Expenses,1239000000,1847000000,769000000,1316000000,2230000000,320000000,1901000000,418000000,2102000000,1879000000
