Item,Parent,2008-09,2011-12,2009-10,2010-11
Assets,,17084900000,21581100000,18487300000,20828399999
Non-Current Assets,Assets,12225700000,15779000000,13288300000,14501499999
Trade and other receivables,Non-Current Assets,2700000,24500000,13300000,14900000
Intangible assets,Non-Current Assets,4933100000,5282000000,5071000000,5236600000
"Property,plant & equipment",Non-Current Assets,6653900000,9589000000,7639100000,8620300000
Deferred tax assets,Non-Current Assets,480600000,644700000,432600000,510400000
Other financial assets,Non-Current Assets,155400000,238800000,132300000,119300000
Current Assets,Assets,4859200000,5802099999,5199000000,6326900000
Inventories,Current Assets,3292600000,3698300000,3438800000,3736500000
Trade and other receivables,Current Assets,664200000,869900000,916800000,856100000
Other financial assets,Current Assets,102900000,23800000,92700000,120800000
Cash,Current Assets,762600000,833400000,713400000,1519600000
Assets held for disposal,Current Assets,36900000,376700000,37300000,93900000
