Item,Parent,2008-09,2011-12,2009-10,2010-11
Liabilities,,10027600000,13134800000,10669600000,12982599999
Current ,Liabilities,6414600000,6565299999,7153400000,8022199999
Borrowings,Current ,188600000,54400000,871700000,1471100000
Trade payables,Current ,5110000000,5242200000,5278900000,5246700000
Tax payable,Current ,279500000,221500000,199000000,204700000
Provisions,Current ,737200000,939800000,779100000,861000000
Other financial liabilities,Current ,99300000,107400000,24700000,238700000
Non-Current,Liabilities,3613000000,6569500000,3516200000,4960400000
Borrowings,Non-Current,2986300000,4695300000,2670400000,3373800000
Other financial liabilities,Non-Current,78400000,887200000,236700000,915500000
Provisions,Non-Current,362300000,527299999,416300000,465200000
Other,Non-Current,186000000,258800000,192800000,205900000
Liabilities of assets held for sale,Non-Current,0,200900000,0,0
