year,category,amount
2013,AusAID Country programs,5148600000
2014,AusAID Country programs,5666400000
2012,AusAID Country programs,4825200000
2013,AusAID Global programs,5148600000
2014,AusAID Global programs,5666400000
2012,AusAID Global programs,4825200000
2013,AusAID Departmental,5148600000
2014,AusAID Departmental,5666400000
2012,AusAID Departmental,4825200000
2013,Australian Centre for International Agricultual Research (ACIAR),5148600000
2014,Australian Centre for International Agricultual Research (ACIAR),5666400000
2012,Australian Centre for International Agricultual Research (ACIAR),4825200000
2013,Other Government Departments,5148600000
2014,Other Government Departments,5666400000
2012,Other Government Departments,4825200000
