year,category,amount
2008,Financial assets,18478000000
2014,Financial assets,27204000000
2007,Financial assets,15798000000
2009,Financial assets,21116000000
2012,Financial assets,25113000000
2005,Financial assets,13296000000
2010,Financial assets,22935000000
2006,Financial assets,13925000000
2013,Financial assets,26417000000
2011,Financial assets,23922000000
2008,Non-financial assets,18478000000
2014,Non-financial assets,27204000000
2007,Non-financial assets,15798000000
2009,Non-financial assets,21116000000
2012,Non-financial assets,25113000000
2005,Non-financial assets,13296000000
2010,Non-financial assets,22935000000
2006,Non-financial assets,13925000000
2013,Non-financial assets,26417000000
2011,Non-financial assets,23922000000
