year,category,amount
2008,General public services,3222000000
2014,General public services,4916000000
2007,General public services,2899000000
2009,General public services,3474000000
2012,General public services,4459000000
2005,General public services,2641000000
2010,General public services,4017000000
2006,General public services,2801000000
2013,General public services,4877000000
2011,General public services,4192000000
2008,Defence,3222000000
2014,Defence,4916000000
2007,Defence,2899000000
2009,Defence,3474000000
2012,Defence,4459000000
2005,Defence,2641000000
2010,Defence,4017000000
2006,Defence,2801000000
2013,Defence,4877000000
2011,Defence,4192000000
2008,Public order and safety,3222000000
2014,Public order and safety,4916000000
2007,Public order and safety,2899000000
2009,Public order and safety,3474000000
2012,Public order and safety,4459000000
2005,Public order and safety,2641000000
2010,Public order and safety,4017000000
2006,Public order and safety,2801000000
2013,Public order and safety,4877000000
2011,Public order and safety,4192000000
2008,Education,3222000000
2014,Education,4916000000
2007,Education,2899000000
2009,Education,3474000000
2012,Education,4459000000
2005,Education,2641000000
2010,Education,4017000000
2006,Education,2801000000
2013,Education,4877000000
2011,Education,4192000000
2008,Health,3222000000
2014,Health,4916000000
2007,Health,2899000000
2009,Health,3474000000
2012,Health,4459000000
2005,Health,2641000000
2010,Health,4017000000
2006,Health,2801000000
2013,Health,4877000000
2011,Health,4192000000
2008,Social security and welfare,3222000000
2014,Social security and welfare,4916000000
2007,Social security and welfare,2899000000
2009,Social security and welfare,3474000000
2012,Social security and welfare,4459000000
2005,Social security and welfare,2641000000
2010,Social security and welfare,4017000000
2006,Social security and welfare,2801000000
2013,Social security and welfare,4877000000
2011,Social security and welfare,4192000000
2008,Housing and community amenities,3222000000
2014,Housing and community amenities,4916000000
2007,Housing and community amenities,2899000000
2009,Housing and community amenities,3474000000
2012,Housing and community amenities,4459000000
2005,Housing and community amenities,2641000000
2010,Housing and community amenities,4017000000
2006,Housing and community amenities,2801000000
2013,Housing and community amenities,4877000000
2011,Housing and community amenities,4192000000
2008,Recreation and culture,3222000000
2014,Recreation and culture,4916000000
2007,Recreation and culture,2899000000
2009,Recreation and culture,3474000000
2012,Recreation and culture,4459000000
2005,Recreation and culture,2641000000
2010,Recreation and culture,4017000000
2006,Recreation and culture,2801000000
2013,Recreation and culture,4877000000
2011,Recreation and culture,4192000000
2008,Fuel and energy,3222000000
2014,Fuel and energy,4916000000
2007,Fuel and energy,2899000000
2009,Fuel and energy,3474000000
2012,Fuel and energy,4459000000
2005,Fuel and energy,2641000000
2010,Fuel and energy,4017000000
2006,Fuel and energy,2801000000
2013,Fuel and energy,4877000000
2011,Fuel and energy,4192000000
2008,"Agriculture, forestry and fishing",3222000000
2014,"Agriculture, forestry and fishing",4916000000
2007,"Agriculture, forestry and fishing",2899000000
2009,"Agriculture, forestry and fishing",3474000000
2012,"Agriculture, forestry and fishing",4459000000
2005,"Agriculture, forestry and fishing",2641000000
2010,"Agriculture, forestry and fishing",4017000000
2006,"Agriculture, forestry and fishing",2801000000
2013,"Agriculture, forestry and fishing",4877000000
2011,"Agriculture, forestry and fishing",4192000000
2008,"Mining, manufacturing and construction",3222000000
2014,"Mining, manufacturing and construction",4916000000
2007,"Mining, manufacturing and construction",2899000000
2009,"Mining, manufacturing and construction",3474000000
2012,"Mining, manufacturing and construction",4459000000
2005,"Mining, manufacturing and construction",2641000000
2010,"Mining, manufacturing and construction",4017000000
2006,"Mining, manufacturing and construction",2801000000
2013,"Mining, manufacturing and construction",4877000000
2011,"Mining, manufacturing and construction",4192000000
2008,Transport and communications,3222000000
2014,Transport and communications,4916000000
2007,Transport and communications,2899000000
2009,Transport and communications,3474000000
2012,Transport and communications,4459000000
2005,Transport and communications,2641000000
2010,Transport and communications,4017000000
2006,Transport and communications,2801000000
2013,Transport and communications,4877000000
2011,Transport and communications,4192000000
2008,Other economic affairs,3222000000
2014,Other economic affairs,4916000000
2007,Other economic affairs,2899000000
2009,Other economic affairs,3474000000
2012,Other economic affairs,4459000000
2005,Other economic affairs,2641000000
2010,Other economic affairs,4017000000
2006,Other economic affairs,2801000000
2013,Other economic affairs,4877000000
2011,Other economic affairs,4192000000
2008,Nominal interest on superannuation,3222000000
2014,Nominal interest on superannuation,4916000000
2007,Nominal interest on superannuation,2899000000
2009,Nominal interest on superannuation,3474000000
2012,Nominal interest on superannuation,4459000000
2005,Nominal interest on superannuation,2641000000
2010,Nominal interest on superannuation,4017000000
2006,Nominal interest on superannuation,2801000000
2013,Nominal interest on superannuation,4877000000
2011,Nominal interest on superannuation,4192000000
2008,Public debt transactions,3222000000
2014,Public debt transactions,4916000000
2007,Public debt transactions,2899000000
2009,Public debt transactions,3474000000
2012,Public debt transactions,4459000000
2005,Public debt transactions,2641000000
2010,Public debt transactions,4017000000
2006,Public debt transactions,2801000000
2013,Public debt transactions,4877000000
2011,Public debt transactions,4192000000
2008,Other purposes,3222000000
2014,Other purposes,4916000000
2007,Other purposes,2899000000
2009,Other purposes,3474000000
2012,Other purposes,4459000000
2005,Other purposes,2641000000
2010,Other purposes,4017000000
2006,Other purposes,2801000000
2013,Other purposes,4877000000
2011,Other purposes,4192000000
2008,Net acquisition of non-financial assets,3222000000
2014,Net acquisition of non-financial assets,4916000000
2007,Net acquisition of non-financial assets,2899000000
2009,Net acquisition of non-financial assets,3474000000
2012,Net acquisition of non-financial assets,4459000000
2005,Net acquisition of non-financial assets,2641000000
2010,Net acquisition of non-financial assets,4017000000
2006,Net acquisition of non-financial assets,2801000000
2013,Net acquisition of non-financial assets,4877000000
2011,Net acquisition of non-financial assets,4192000000
