year,category,amount
2008,Deposits held,5070000000
2014,Deposits held,11965000000
2007,Deposits held,4623000000
2009,Deposits held,6280000000
2012,Deposits held,11000000000
2005,Deposits held,4031000000
2010,Deposits held,7196000000
2006,Deposits held,4480000000
2013,Deposits held,10872000000
2011,Deposits held,7712000000
2008,Advances received,5070000000
2014,Advances received,11965000000
2007,Advances received,4623000000
2009,Advances received,6280000000
2012,Advances received,11000000000
2005,Advances received,4031000000
2010,Advances received,7196000000
2006,Advances received,4480000000
2013,Advances received,10872000000
2011,Advances received,7712000000
2008,Borrowing,5070000000
2014,Borrowing,11965000000
2007,Borrowing,4623000000
2009,Borrowing,6280000000
2012,Borrowing,11000000000
2005,Borrowing,4031000000
2010,Borrowing,7196000000
2006,Borrowing,4480000000
2013,Borrowing,10872000000
2011,Borrowing,7712000000
2008,Unfunded superannuation liability and other employee entitlements,5070000000
2014,Unfunded superannuation liability and other employee entitlements,11965000000
2007,Unfunded superannuation liability and other employee entitlements,4623000000
2009,Unfunded superannuation liability and other employee entitlements,6280000000
2012,Unfunded superannuation liability and other employee entitlements,11000000000
2005,Unfunded superannuation liability and other employee entitlements,4031000000
2010,Unfunded superannuation liability and other employee entitlements,7196000000
2006,Unfunded superannuation liability and other employee entitlements,4480000000
2013,Unfunded superannuation liability and other employee entitlements,10872000000
2011,Unfunded superannuation liability and other employee entitlements,7712000000
2008,Other provisions,5070000000
2014,Other provisions,11965000000
2007,Other provisions,4623000000
2009,Other provisions,6280000000
2012,Other provisions,11000000000
2005,Other provisions,4031000000
2010,Other provisions,7196000000
2006,Other provisions,4480000000
2013,Other provisions,10872000000
2011,Other provisions,7712000000
2008,Other non-equity liabilities,5070000000
2014,Other non-equity liabilities,11965000000
2007,Other non-equity liabilities,4623000000
2009,Other non-equity liabilities,6280000000
2012,Other non-equity liabilities,11000000000
2005,Other non-equity liabilities,4031000000
2010,Other non-equity liabilities,7196000000
2006,Other non-equity liabilities,4480000000
2013,Other non-equity liabilities,10872000000
2011,Other non-equity liabilities,7712000000
