year,category,amount
2008,Taxation revenue,3366000000
2014,Taxation revenue,4342000000
2007,Taxation revenue,2905000000
2009,Taxation revenue,3320000000
2012,Taxation revenue,4123000000
2005,Taxation revenue,2391000000
2010,Taxation revenue,3815000000
2006,Taxation revenue,2694000000
2013,Taxation revenue,4122000000
2011,Taxation revenue,3881000000
2008,Current grants and subsidies,3366000000
2014,Current grants and subsidies,4342000000
2007,Current grants and subsidies,2905000000
2009,Current grants and subsidies,3320000000
2012,Current grants and subsidies,4123000000
2005,Current grants and subsidies,2391000000
2010,Current grants and subsidies,3815000000
2006,Current grants and subsidies,2694000000
2013,Current grants and subsidies,4122000000
2011,Current grants and subsidies,3881000000
2008,Sales of goods and services,3366000000
2014,Sales of goods and services,4342000000
2007,Sales of goods and services,2905000000
2009,Sales of goods and services,3320000000
2012,Sales of goods and services,4123000000
2005,Sales of goods and services,2391000000
2010,Sales of goods and services,3815000000
2006,Sales of goods and services,2694000000
2013,Sales of goods and services,4122000000
2011,Sales of goods and services,3881000000
2008,Interest income,3366000000
2014,Interest income,4342000000
2007,Interest income,2905000000
2009,Interest income,3320000000
2012,Interest income,4123000000
2005,Interest income,2391000000
2010,Interest income,3815000000
2006,Interest income,2694000000
2013,Interest income,4122000000
2011,Interest income,3881000000
2008,Other revenue,3366000000
2014,Other revenue,4342000000
2007,Other revenue,2905000000
2009,Other revenue,3320000000
2012,Other revenue,4123000000
2005,Other revenue,2391000000
2010,Other revenue,3815000000
2006,Other revenue,2694000000
2013,Other revenue,4122000000
2011,Other revenue,3881000000
