year,category,amount
2012,Iron Ore,73132000000
2010,Iron Ore,53326000000
2011,Iron Ore,72270000000
2012,Aluminium,73132000000
2010,Aluminium,53326000000
2011,Aluminium,72270000000
2012,Base Metals,73132000000
2010,Base Metals,53326000000
2011,Base Metals,72270000000
2012,Diamonds and Speciality Products,73132000000
2010,Diamonds and Speciality Products,53326000000
2011,Diamonds and Speciality Products,72270000000
2012,Stainless Steel,73132000000
2010,Stainless Steel,53326000000
2011,Stainless Steel,72270000000
2012,Manganese,73132000000
2010,Manganese,53326000000
2011,Manganese,72270000000
2012,Metallurgical Coal,73132000000
2010,Metallurgical Coal,53326000000
2011,Metallurgical Coal,72270000000
2012,Energy Coal,73132000000
2010,Energy Coal,53326000000
2011,Energy Coal,72270000000
2012,Petroleum,73132000000
2010,Petroleum,53326000000
2011,Petroleum,72270000000
2012,Unallocated,73132000000
2010,Unallocated,53326000000
2011,Unallocated,72270000000
2012,Other,73132000000
2010,Other,53326000000
2011,Other,72270000000
