year,category,amount
2012,Other,373300000000
2013,Other,369800000000
2014,Other,394000000000
2011,Other,349600000000
2012,Health and Ageing,373300000000
2013,Health and Ageing,369800000000
2014,Health and Ageing,394000000000
2011,Health and Ageing,349600000000
2012,"Education, Employment & Workplace Relations",373300000000
2013,"Education, Employment & Workplace Relations",369800000000
2014,"Education, Employment & Workplace Relations",394000000000
2011,"Education, Employment & Workplace Relations",349600000000
2012,Department of Veteran Affairs,373300000000
2013,Department of Veteran Affairs,369800000000
2014,Department of Veteran Affairs,394000000000
2011,Department of Veteran Affairs,349600000000
2012,"Industry Innovation, Science, Research & Tertiary Education Portfolio",373300000000
2013,"Industry Innovation, Science, Research & Tertiary Education Portfolio",369800000000
2014,"Industry Innovation, Science, Research & Tertiary Education Portfolio",394000000000
2011,"Industry Innovation, Science, Research & Tertiary Education Portfolio",349600000000
2012,"Families, Housing, Community Services and Indigenous Affairs portfolio",373300000000
2013,"Families, Housing, Community Services and Indigenous Affairs portfolio",369800000000
2014,"Families, Housing, Community Services and Indigenous Affairs portfolio",394000000000
2011,"Families, Housing, Community Services and Indigenous Affairs portfolio",349600000000
2012,Defence portfolio,373300000000
2013,Defence portfolio,369800000000
2014,Defence portfolio,394000000000
2011,Defence portfolio,349600000000
2012,Finance & Deregulation,373300000000
2013,Finance & Deregulation,369800000000
2014,Finance & Deregulation,394000000000
2011,Finance & Deregulation,349600000000
2012,Treasury & Related Departments,373300000000
2013,Treasury & Related Departments,369800000000
2014,Treasury & Related Departments,394000000000
2011,Treasury & Related Departments,349600000000
