year,category,amount
2012,Individuals' and other withholding taxes,329874000000
2013,Individuals' and other withholding taxes,350410000000
2014,Individuals' and other withholding taxes,375993000000
2011,Individuals' and other withholding taxes,302024000000
2012,Indirect Tax,329874000000
2013,Indirect Tax,350410000000
2014,Indirect Tax,375993000000
2011,Indirect Tax,302024000000
2012,Non-taxation receipts,329874000000
2013,Non-taxation receipts,350410000000
2014,Non-taxation receipts,375993000000
2011,Non-taxation receipts,302024000000
