year,category,amount
2008,Financial assets,287530000000
2014,Financial assets,421737000000
2007,Financial assets,260525000000
2009,Financial assets,320559000000
2012,Financial assets,338148000000
2005,Financial assets,205029000000
2010,Financial assets,326208000000
2006,Financial assets,256376000000
2013,Financial assets,372502000000
2011,Financial assets,325954000000
2008,Non-financial assets,287530000000
2014,Non-financial assets,421737000000
2007,Non-financial assets,260525000000
2009,Non-financial assets,320559000000
2012,Non-financial assets,338148000000
2005,Non-financial assets,205029000000
2010,Non-financial assets,326208000000
2006,Non-financial assets,256376000000
2013,Non-financial assets,372502000000
2011,Non-financial assets,325954000000
