year,category,amount
2008,General public services,282386000000
2014,General public services,409649000000
2007,General public services,260571000000
2009,General public services,327951000000
2012,General public services,384879000000
2005,General public services,230441000000
2010,General public services,345780000000
2006,General public services,244316000000
2013,General public services,383770000000
2011,General public services,363315000000
2008,Defence,282386000000
2014,Defence,409649000000
2007,Defence,260571000000
2009,Defence,327951000000
2012,Defence,384879000000
2005,Defence,230441000000
2010,Defence,345780000000
2006,Defence,244316000000
2013,Defence,383770000000
2011,Defence,363315000000
2008,Public order and safety,282386000000
2014,Public order and safety,409649000000
2007,Public order and safety,260571000000
2009,Public order and safety,327951000000
2012,Public order and safety,384879000000
2005,Public order and safety,230441000000
2010,Public order and safety,345780000000
2006,Public order and safety,244316000000
2013,Public order and safety,383770000000
2011,Public order and safety,363315000000
2008,Education,282386000000
2014,Education,409649000000
2007,Education,260571000000
2009,Education,327951000000
2012,Education,384879000000
2005,Education,230441000000
2010,Education,345780000000
2006,Education,244316000000
2013,Education,383770000000
2011,Education,363315000000
2008,Health,282386000000
2014,Health,409649000000
2007,Health,260571000000
2009,Health,327951000000
2012,Health,384879000000
2005,Health,230441000000
2010,Health,345780000000
2006,Health,244316000000
2013,Health,383770000000
2011,Health,363315000000
2008,Social security and welfare,282386000000
2014,Social security and welfare,409649000000
2007,Social security and welfare,260571000000
2009,Social security and welfare,327951000000
2012,Social security and welfare,384879000000
2005,Social security and welfare,230441000000
2010,Social security and welfare,345780000000
2006,Social security and welfare,244316000000
2013,Social security and welfare,383770000000
2011,Social security and welfare,363315000000
2008,Housing and community amenities,282386000000
2014,Housing and community amenities,409649000000
2007,Housing and community amenities,260571000000
2009,Housing and community amenities,327951000000
2012,Housing and community amenities,384879000000
2005,Housing and community amenities,230441000000
2010,Housing and community amenities,345780000000
2006,Housing and community amenities,244316000000
2013,Housing and community amenities,383770000000
2011,Housing and community amenities,363315000000
2008,Recreation and culture,282386000000
2014,Recreation and culture,409649000000
2007,Recreation and culture,260571000000
2009,Recreation and culture,327951000000
2012,Recreation and culture,384879000000
2005,Recreation and culture,230441000000
2010,Recreation and culture,345780000000
2006,Recreation and culture,244316000000
2013,Recreation and culture,383770000000
2011,Recreation and culture,363315000000
2008,Fuel and energy,282386000000
2014,Fuel and energy,409649000000
2007,Fuel and energy,260571000000
2009,Fuel and energy,327951000000
2012,Fuel and energy,384879000000
2005,Fuel and energy,230441000000
2010,Fuel and energy,345780000000
2006,Fuel and energy,244316000000
2013,Fuel and energy,383770000000
2011,Fuel and energy,363315000000
2008,"Agriculture, forestry and fishing",282386000000
2014,"Agriculture, forestry and fishing",409649000000
2007,"Agriculture, forestry and fishing",260571000000
2009,"Agriculture, forestry and fishing",327951000000
2012,"Agriculture, forestry and fishing",384879000000
2005,"Agriculture, forestry and fishing",230441000000
2010,"Agriculture, forestry and fishing",345780000000
2006,"Agriculture, forestry and fishing",244316000000
2013,"Agriculture, forestry and fishing",383770000000
2011,"Agriculture, forestry and fishing",363315000000
2008,"Mining, manufacturing and construction",282386000000
2014,"Mining, manufacturing and construction",409649000000
2007,"Mining, manufacturing and construction",260571000000
2009,"Mining, manufacturing and construction",327951000000
2012,"Mining, manufacturing and construction",384879000000
2005,"Mining, manufacturing and construction",230441000000
2010,"Mining, manufacturing and construction",345780000000
2006,"Mining, manufacturing and construction",244316000000
2013,"Mining, manufacturing and construction",383770000000
2011,"Mining, manufacturing and construction",363315000000
2008,Transport and communications,282386000000
2014,Transport and communications,409649000000
2007,Transport and communications,260571000000
2009,Transport and communications,327951000000
2012,Transport and communications,384879000000
2005,Transport and communications,230441000000
2010,Transport and communications,345780000000
2006,Transport and communications,244316000000
2013,Transport and communications,383770000000
2011,Transport and communications,363315000000
2008,Other economic affairs,282386000000
2014,Other economic affairs,409649000000
2007,Other economic affairs,260571000000
2009,Other economic affairs,327951000000
2012,Other economic affairs,384879000000
2005,Other economic affairs,230441000000
2010,Other economic affairs,345780000000
2006,Other economic affairs,244316000000
2013,Other economic affairs,383770000000
2011,Other economic affairs,363315000000
2008,Nominal interest on superannuation,282386000000
2014,Nominal interest on superannuation,409649000000
2007,Nominal interest on superannuation,260571000000
2009,Nominal interest on superannuation,327951000000
2012,Nominal interest on superannuation,384879000000
2005,Nominal interest on superannuation,230441000000
2010,Nominal interest on superannuation,345780000000
2006,Nominal interest on superannuation,244316000000
2013,Nominal interest on superannuation,383770000000
2011,Nominal interest on superannuation,363315000000
2008,Public debt transactions,282386000000
2014,Public debt transactions,409649000000
2007,Public debt transactions,260571000000
2009,Public debt transactions,327951000000
2012,Public debt transactions,384879000000
2005,Public debt transactions,230441000000
2010,Public debt transactions,345780000000
2006,Public debt transactions,244316000000
2013,Public debt transactions,383770000000
2011,Public debt transactions,363315000000
2008,Other purposes,282386000000
2014,Other purposes,409649000000
2007,Other purposes,260571000000
2009,Other purposes,327951000000
2012,Other purposes,384879000000
2005,Other purposes,230441000000
2010,Other purposes,345780000000
2006,Other purposes,244316000000
2013,Other purposes,383770000000
2011,Other purposes,363315000000
2008,Net acquisition of non-financial assets,282386000000
2014,Net acquisition of non-financial assets,409649000000
2007,Net acquisition of non-financial assets,260571000000
2009,Net acquisition of non-financial assets,327951000000
2012,Net acquisition of non-financial assets,384879000000
2005,Net acquisition of non-financial assets,230441000000
2010,Net acquisition of non-financial assets,345780000000
2006,Net acquisition of non-financial assets,244316000000
2013,Net acquisition of non-financial assets,383770000000
2011,Net acquisition of non-financial assets,363315000000
