year,category,amount
2008,Deposits held,209423000000
2014,Deposits held,659140000000
2007,Deposits held,214214000000
2009,Deposits held,294231000000
2012,Deposits held,586125000000
2005,Deposits held,202428000000
2010,Deposits held,369493000000
2006,Deposits held,209684000000
2013,Deposits held,570753000000
2011,Deposits held,422312000000
2008,Advances received,209423000000
2014,Advances received,659140000000
2007,Advances received,214214000000
2009,Advances received,294231000000
2012,Advances received,586125000000
2005,Advances received,202428000000
2010,Advances received,369493000000
2006,Advances received,209684000000
2013,Advances received,570753000000
2011,Advances received,422312000000
2008,Borrowing,209423000000
2014,Borrowing,659140000000
2007,Borrowing,214214000000
2009,Borrowing,294231000000
2012,Borrowing,586125000000
2005,Borrowing,202428000000
2010,Borrowing,369493000000
2006,Borrowing,209684000000
2013,Borrowing,570753000000
2011,Borrowing,422312000000
2008,Unfunded superannuation liability and other employee entitlements,209423000000
2014,Unfunded superannuation liability and other employee entitlements,659140000000
2007,Unfunded superannuation liability and other employee entitlements,214214000000
2009,Unfunded superannuation liability and other employee entitlements,294231000000
2012,Unfunded superannuation liability and other employee entitlements,586125000000
2005,Unfunded superannuation liability and other employee entitlements,202428000000
2010,Unfunded superannuation liability and other employee entitlements,369493000000
2006,Unfunded superannuation liability and other employee entitlements,209684000000
2013,Unfunded superannuation liability and other employee entitlements,570753000000
2011,Unfunded superannuation liability and other employee entitlements,422312000000
2008,Other provisions,209423000000
2014,Other provisions,659140000000
2007,Other provisions,214214000000
2009,Other provisions,294231000000
2012,Other provisions,586125000000
2005,Other provisions,202428000000
2010,Other provisions,369493000000
2006,Other provisions,209684000000
2013,Other provisions,570753000000
2011,Other provisions,422312000000
2008,Other non-equity liabilities,209423000000
2014,Other non-equity liabilities,659140000000
2007,Other non-equity liabilities,214214000000
2009,Other non-equity liabilities,294231000000
2012,Other non-equity liabilities,586125000000
2005,Other non-equity liabilities,202428000000
2010,Other non-equity liabilities,369493000000
2006,Other non-equity liabilities,209684000000
2013,Other non-equity liabilities,570753000000
2011,Other non-equity liabilities,422312000000
