year,category,amount
2008,Taxation revenue,303678000000
2014,Taxation revenue,375215000000
2007,Taxation revenue,278200000000
2009,Taxation revenue,298646000000
2012,Taxation revenue,339080000000
2005,Taxation revenue,242183000000
2010,Taxation revenue,292648000000
2006,Taxation revenue,260968000000
2013,Taxation revenue,361755000000
2011,Taxation revenue,309982000000
2008,Current grants and subsidies,303678000000
2014,Current grants and subsidies,375215000000
2007,Current grants and subsidies,278200000000
2009,Current grants and subsidies,298646000000
2012,Current grants and subsidies,339080000000
2005,Current grants and subsidies,242183000000
2010,Current grants and subsidies,292648000000
2006,Current grants and subsidies,260968000000
2013,Current grants and subsidies,361755000000
2011,Current grants and subsidies,309982000000
2008,Sales of goods and services,303678000000
2014,Sales of goods and services,375215000000
2007,Sales of goods and services,278200000000
2009,Sales of goods and services,298646000000
2012,Sales of goods and services,339080000000
2005,Sales of goods and services,242183000000
2010,Sales of goods and services,292648000000
2006,Sales of goods and services,260968000000
2013,Sales of goods and services,361755000000
2011,Sales of goods and services,309982000000
2008,Interest from public non-financial corporations,303678000000
2014,Interest from public non-financial corporations,375215000000
2007,Interest from public non-financial corporations,278200000000
2009,Interest from public non-financial corporations,298646000000
2012,Interest from public non-financial corporations,339080000000
2005,Interest from public non-financial corporations,242183000000
2010,Interest from public non-financial corporations,292648000000
2006,Interest from public non-financial corporations,260968000000
2013,Interest from public non-financial corporations,361755000000
2011,Interest from public non-financial corporations,309982000000
2008,Interest from public financial corporations,303678000000
2014,Interest from public financial corporations,375215000000
2007,Interest from public financial corporations,278200000000
2009,Interest from public financial corporations,298646000000
2012,Interest from public financial corporations,339080000000
2005,Interest from public financial corporations,242183000000
2010,Interest from public financial corporations,292648000000
2006,Interest from public financial corporations,260968000000
2013,Interest from public financial corporations,361755000000
2011,Interest from public financial corporations,309982000000
2008,Interest from other,303678000000
2014,Interest from other,375215000000
2007,Interest from other,278200000000
2009,Interest from other,298646000000
2012,Interest from other,339080000000
2005,Interest from other,242183000000
2010,Interest from other,292648000000
2006,Interest from other,260968000000
2013,Interest from other,361755000000
2011,Interest from other,309982000000
2008,Dividend income,303678000000
2014,Dividend income,375215000000
2007,Dividend income,278200000000
2009,Dividend income,298646000000
2012,Dividend income,339080000000
2005,Dividend income,242183000000
2010,Dividend income,292648000000
2006,Dividend income,260968000000
2013,Dividend income,361755000000
2011,Dividend income,309982000000
2008,Other revenue,303678000000
2014,Other revenue,375215000000
2007,Other revenue,278200000000
2009,Other revenue,298646000000
2012,Other revenue,339080000000
2005,Other revenue,242183000000
2010,Other revenue,292648000000
2006,Other revenue,260968000000
2013,Other revenue,361755000000
2011,Other revenue,309982000000
