year,category,amount
2008,Financial assets,198946000000
2014,Financial assets,276303000000
2007,Financial assets,184811000000
2009,Financial assets,204990000000
2012,Financial assets,246364000000
2005,Financial assets,175267000000
2010,Financial assets,228222000000
2006,Financial assets,183039000000
2013,Financial assets,263208000000
2011,Financial assets,245443000000
2008,Non-financial assets,198946000000
2014,Non-financial assets,276303000000
2007,Non-financial assets,184811000000
2009,Non-financial assets,204990000000
2012,Non-financial assets,246364000000
2005,Non-financial assets,175267000000
2010,Non-financial assets,228222000000
2006,Non-financial assets,183039000000
2013,Non-financial assets,263208000000
2011,Non-financial assets,245443000000
