year,category,amount
2008,General public services,50969000000
2014,General public services,70170000000
2007,General public services,48332000000
2009,General public services,55983000000
2012,General public services,64419000000
2005,General public services,41682000000
2010,General public services,62603000000
2006,General public services,44713000000
2013,General public services,67050000000
2011,General public services,63474000000
2008,Defence,50969000000
2014,Defence,70170000000
2007,Defence,48332000000
2009,Defence,55983000000
2012,Defence,64419000000
2005,Defence,41682000000
2010,Defence,62603000000
2006,Defence,44713000000
2013,Defence,67050000000
2011,Defence,63474000000
2008,Public order and safety,50969000000
2014,Public order and safety,70170000000
2007,Public order and safety,48332000000
2009,Public order and safety,55983000000
2012,Public order and safety,64419000000
2005,Public order and safety,41682000000
2010,Public order and safety,62603000000
2006,Public order and safety,44713000000
2013,Public order and safety,67050000000
2011,Public order and safety,63474000000
2008,Education,50969000000
2014,Education,70170000000
2007,Education,48332000000
2009,Education,55983000000
2012,Education,64419000000
2005,Education,41682000000
2010,Education,62603000000
2006,Education,44713000000
2013,Education,67050000000
2011,Education,63474000000
2008,Health,50969000000
2014,Health,70170000000
2007,Health,48332000000
2009,Health,55983000000
2012,Health,64419000000
2005,Health,41682000000
2010,Health,62603000000
2006,Health,44713000000
2013,Health,67050000000
2011,Health,63474000000
2008,Social security and welfare,50969000000
2014,Social security and welfare,70170000000
2007,Social security and welfare,48332000000
2009,Social security and welfare,55983000000
2012,Social security and welfare,64419000000
2005,Social security and welfare,41682000000
2010,Social security and welfare,62603000000
2006,Social security and welfare,44713000000
2013,Social security and welfare,67050000000
2011,Social security and welfare,63474000000
2008,Housing and community amenities,50969000000
2014,Housing and community amenities,70170000000
2007,Housing and community amenities,48332000000
2009,Housing and community amenities,55983000000
2012,Housing and community amenities,64419000000
2005,Housing and community amenities,41682000000
2010,Housing and community amenities,62603000000
2006,Housing and community amenities,44713000000
2013,Housing and community amenities,67050000000
2011,Housing and community amenities,63474000000
2008,Recreation and culture,50969000000
2014,Recreation and culture,70170000000
2007,Recreation and culture,48332000000
2009,Recreation and culture,55983000000
2012,Recreation and culture,64419000000
2005,Recreation and culture,41682000000
2010,Recreation and culture,62603000000
2006,Recreation and culture,44713000000
2013,Recreation and culture,67050000000
2011,Recreation and culture,63474000000
2008,Fuel and energy,50969000000
2014,Fuel and energy,70170000000
2007,Fuel and energy,48332000000
2009,Fuel and energy,55983000000
2012,Fuel and energy,64419000000
2005,Fuel and energy,41682000000
2010,Fuel and energy,62603000000
2006,Fuel and energy,44713000000
2013,Fuel and energy,67050000000
2011,Fuel and energy,63474000000
2008,"Agriculture, forestry and fishing",50969000000
2014,"Agriculture, forestry and fishing",70170000000
2007,"Agriculture, forestry and fishing",48332000000
2009,"Agriculture, forestry and fishing",55983000000
2012,"Agriculture, forestry and fishing",64419000000
2005,"Agriculture, forestry and fishing",41682000000
2010,"Agriculture, forestry and fishing",62603000000
2006,"Agriculture, forestry and fishing",44713000000
2013,"Agriculture, forestry and fishing",67050000000
2011,"Agriculture, forestry and fishing",63474000000
2008,"Mining, manufacturing and construction",50969000000
2014,"Mining, manufacturing and construction",70170000000
2007,"Mining, manufacturing and construction",48332000000
2009,"Mining, manufacturing and construction",55983000000
2012,"Mining, manufacturing and construction",64419000000
2005,"Mining, manufacturing and construction",41682000000
2010,"Mining, manufacturing and construction",62603000000
2006,"Mining, manufacturing and construction",44713000000
2013,"Mining, manufacturing and construction",67050000000
2011,"Mining, manufacturing and construction",63474000000
2008,Transport and communications,50969000000
2014,Transport and communications,70170000000
2007,Transport and communications,48332000000
2009,Transport and communications,55983000000
2012,Transport and communications,64419000000
2005,Transport and communications,41682000000
2010,Transport and communications,62603000000
2006,Transport and communications,44713000000
2013,Transport and communications,67050000000
2011,Transport and communications,63474000000
2008,Other economic affairs,50969000000
2014,Other economic affairs,70170000000
2007,Other economic affairs,48332000000
2009,Other economic affairs,55983000000
2012,Other economic affairs,64419000000
2005,Other economic affairs,41682000000
2010,Other economic affairs,62603000000
2006,Other economic affairs,44713000000
2013,Other economic affairs,67050000000
2011,Other economic affairs,63474000000
2008,Nominal interest on superannuation,50969000000
2014,Nominal interest on superannuation,70170000000
2007,Nominal interest on superannuation,48332000000
2009,Nominal interest on superannuation,55983000000
2012,Nominal interest on superannuation,64419000000
2005,Nominal interest on superannuation,41682000000
2010,Nominal interest on superannuation,62603000000
2006,Nominal interest on superannuation,44713000000
2013,Nominal interest on superannuation,67050000000
2011,Nominal interest on superannuation,63474000000
2008,Public debt transactions,50969000000
2014,Public debt transactions,70170000000
2007,Public debt transactions,48332000000
2009,Public debt transactions,55983000000
2012,Public debt transactions,64419000000
2005,Public debt transactions,41682000000
2010,Public debt transactions,62603000000
2006,Public debt transactions,44713000000
2013,Public debt transactions,67050000000
2011,Public debt transactions,63474000000
2008,Other purposes,50969000000
2014,Other purposes,70170000000
2007,Other purposes,48332000000
2009,Other purposes,55983000000
2012,Other purposes,64419000000
2005,Other purposes,41682000000
2010,Other purposes,62603000000
2006,Other purposes,44713000000
2013,Other purposes,67050000000
2011,Other purposes,63474000000
2008,Net acquisition of non-financial assets,50969000000
2014,Net acquisition of non-financial assets,70170000000
2007,Net acquisition of non-financial assets,48332000000
2009,Net acquisition of non-financial assets,55983000000
2012,Net acquisition of non-financial assets,64419000000
2005,Net acquisition of non-financial assets,41682000000
2010,Net acquisition of non-financial assets,62603000000
2006,Net acquisition of non-financial assets,44713000000
2013,Net acquisition of non-financial assets,67050000000
2011,Net acquisition of non-financial assets,63474000000
