year,category,amount
2008,Deposits held,52447000000
2014,Deposits held,111104000000
2007,Deposits held,48626000000
2009,Deposits held,69575000000
2012,Deposits held,102921000000
2005,Deposits held,46299000000
2010,Deposits held,77102000000
2006,Deposits held,56518000000
2013,Deposits held,98827000000
2011,Deposits held,82002000000
2008,Advances received,52447000000
2014,Advances received,111104000000
2007,Advances received,48626000000
2009,Advances received,69575000000
2012,Advances received,102921000000
2005,Advances received,46299000000
2010,Advances received,77102000000
2006,Advances received,56518000000
2013,Advances received,98827000000
2011,Advances received,82002000000
2008,Borrowing,52447000000
2014,Borrowing,111104000000
2007,Borrowing,48626000000
2009,Borrowing,69575000000
2012,Borrowing,102921000000
2005,Borrowing,46299000000
2010,Borrowing,77102000000
2006,Borrowing,56518000000
2013,Borrowing,98827000000
2011,Borrowing,82002000000
2008,Unfunded superannuation liability and other employee entitlements,52447000000
2014,Unfunded superannuation liability and other employee entitlements,111104000000
2007,Unfunded superannuation liability and other employee entitlements,48626000000
2009,Unfunded superannuation liability and other employee entitlements,69575000000
2012,Unfunded superannuation liability and other employee entitlements,102921000000
2005,Unfunded superannuation liability and other employee entitlements,46299000000
2010,Unfunded superannuation liability and other employee entitlements,77102000000
2006,Unfunded superannuation liability and other employee entitlements,56518000000
2013,Unfunded superannuation liability and other employee entitlements,98827000000
2011,Unfunded superannuation liability and other employee entitlements,82002000000
2008,Other provisions,52447000000
2014,Other provisions,111104000000
2007,Other provisions,48626000000
2009,Other provisions,69575000000
2012,Other provisions,102921000000
2005,Other provisions,46299000000
2010,Other provisions,77102000000
2006,Other provisions,56518000000
2013,Other provisions,98827000000
2011,Other provisions,82002000000
2008,Other non-equity liabilities,52447000000
2014,Other non-equity liabilities,111104000000
2007,Other non-equity liabilities,48626000000
2009,Other non-equity liabilities,69575000000
2012,Other non-equity liabilities,102921000000
2005,Other non-equity liabilities,46299000000
2010,Other non-equity liabilities,77102000000
2006,Other non-equity liabilities,56518000000
2013,Other non-equity liabilities,98827000000
2011,Other non-equity liabilities,82002000000
