year,category,amount
2008,Taxation revenue,49398000000
2014,Taxation revenue,68943000000
2007,Taxation revenue,47285000000
2009,Taxation revenue,53185000000
2012,Taxation revenue,62408000000
2005,Taxation revenue,41478000000
2010,Taxation revenue,59999000000
2006,Taxation revenue,44123000000
2013,Taxation revenue,63462000000
2011,Taxation revenue,60562000000
2008,Current grants and subsidies,49398000000
2014,Current grants and subsidies,68943000000
2007,Current grants and subsidies,47285000000
2009,Current grants and subsidies,53185000000
2012,Current grants and subsidies,62408000000
2005,Current grants and subsidies,41478000000
2010,Current grants and subsidies,59999000000
2006,Current grants and subsidies,44123000000
2013,Current grants and subsidies,63462000000
2011,Current grants and subsidies,60562000000
2008,Sales of goods and services,49398000000
2014,Sales of goods and services,68943000000
2007,Sales of goods and services,47285000000
2009,Sales of goods and services,53185000000
2012,Sales of goods and services,62408000000
2005,Sales of goods and services,41478000000
2010,Sales of goods and services,59999000000
2006,Sales of goods and services,44123000000
2013,Sales of goods and services,63462000000
2011,Sales of goods and services,60562000000
2008,Interest income,49398000000
2014,Interest income,68943000000
2007,Interest income,47285000000
2009,Interest income,53185000000
2012,Interest income,62408000000
2005,Interest income,41478000000
2010,Interest income,59999000000
2006,Interest income,44123000000
2013,Interest income,63462000000
2011,Interest income,60562000000
2008,Other revenue,49398000000
2014,Other revenue,68943000000
2007,Other revenue,47285000000
2009,Other revenue,53185000000
2012,Other revenue,62408000000
2005,Other revenue,41478000000
2010,Other revenue,59999000000
2006,Other revenue,44123000000
2013,Other revenue,63462000000
2011,Other revenue,60562000000
