year,category,amount
2008,Financial assets,8095000000
2014,Financial assets,16580000000
2007,Financial assets,7510000000
2009,Financial assets,9851000000
2012,Financial assets,14867000000
2005,Financial assets,6148000000
2010,Financial assets,12515000000
2006,Financial assets,6840000000
2013,Financial assets,15981000000
2011,Financial assets,13404000000
2008,Non-financial assets,8095000000
2014,Non-financial assets,16580000000
2007,Non-financial assets,7510000000
2009,Non-financial assets,9851000000
2012,Non-financial assets,14867000000
2005,Non-financial assets,6148000000
2010,Non-financial assets,12515000000
2006,Non-financial assets,6840000000
2013,Non-financial assets,15981000000
2011,Non-financial assets,13404000000
