year,category,amount
2008,General public services,3670000000
2014,General public services,5249000000
2007,General public services,3214000000
2009,General public services,4209000000
2012,General public services,5413000000
2005,General public services,2770000000
2010,General public services,4693000000
2006,General public services,3063000000
2013,General public services,5100000000
2011,General public services,5272000000
2008,Defence,3670000000
2014,Defence,5249000000
2007,Defence,3214000000
2009,Defence,4209000000
2012,Defence,5413000000
2005,Defence,2770000000
2010,Defence,4693000000
2006,Defence,3063000000
2013,Defence,5100000000
2011,Defence,5272000000
2008,Public order and safety,3670000000
2014,Public order and safety,5249000000
2007,Public order and safety,3214000000
2009,Public order and safety,4209000000
2012,Public order and safety,5413000000
2005,Public order and safety,2770000000
2010,Public order and safety,4693000000
2006,Public order and safety,3063000000
2013,Public order and safety,5100000000
2011,Public order and safety,5272000000
2008,Education,3670000000
2014,Education,5249000000
2007,Education,3214000000
2009,Education,4209000000
2012,Education,5413000000
2005,Education,2770000000
2010,Education,4693000000
2006,Education,3063000000
2013,Education,5100000000
2011,Education,5272000000
2008,Health,3670000000
2014,Health,5249000000
2007,Health,3214000000
2009,Health,4209000000
2012,Health,5413000000
2005,Health,2770000000
2010,Health,4693000000
2006,Health,3063000000
2013,Health,5100000000
2011,Health,5272000000
2008,Social security and welfare,3670000000
2014,Social security and welfare,5249000000
2007,Social security and welfare,3214000000
2009,Social security and welfare,4209000000
2012,Social security and welfare,5413000000
2005,Social security and welfare,2770000000
2010,Social security and welfare,4693000000
2006,Social security and welfare,3063000000
2013,Social security and welfare,5100000000
2011,Social security and welfare,5272000000
2008,Housing and community amenities,3670000000
2014,Housing and community amenities,5249000000
2007,Housing and community amenities,3214000000
2009,Housing and community amenities,4209000000
2012,Housing and community amenities,5413000000
2005,Housing and community amenities,2770000000
2010,Housing and community amenities,4693000000
2006,Housing and community amenities,3063000000
2013,Housing and community amenities,5100000000
2011,Housing and community amenities,5272000000
2008,Recreation and culture,3670000000
2014,Recreation and culture,5249000000
2007,Recreation and culture,3214000000
2009,Recreation and culture,4209000000
2012,Recreation and culture,5413000000
2005,Recreation and culture,2770000000
2010,Recreation and culture,4693000000
2006,Recreation and culture,3063000000
2013,Recreation and culture,5100000000
2011,Recreation and culture,5272000000
2008,Fuel and energy,3670000000
2014,Fuel and energy,5249000000
2007,Fuel and energy,3214000000
2009,Fuel and energy,4209000000
2012,Fuel and energy,5413000000
2005,Fuel and energy,2770000000
2010,Fuel and energy,4693000000
2006,Fuel and energy,3063000000
2013,Fuel and energy,5100000000
2011,Fuel and energy,5272000000
2008,"Agriculture, forestry and fishing",3670000000
2014,"Agriculture, forestry and fishing",5249000000
2007,"Agriculture, forestry and fishing",3214000000
2009,"Agriculture, forestry and fishing",4209000000
2012,"Agriculture, forestry and fishing",5413000000
2005,"Agriculture, forestry and fishing",2770000000
2010,"Agriculture, forestry and fishing",4693000000
2006,"Agriculture, forestry and fishing",3063000000
2013,"Agriculture, forestry and fishing",5100000000
2011,"Agriculture, forestry and fishing",5272000000
2008,"Mining, manufacturing and construction",3670000000
2014,"Mining, manufacturing and construction",5249000000
2007,"Mining, manufacturing and construction",3214000000
2009,"Mining, manufacturing and construction",4209000000
2012,"Mining, manufacturing and construction",5413000000
2005,"Mining, manufacturing and construction",2770000000
2010,"Mining, manufacturing and construction",4693000000
2006,"Mining, manufacturing and construction",3063000000
2013,"Mining, manufacturing and construction",5100000000
2011,"Mining, manufacturing and construction",5272000000
2008,Transport and communications,3670000000
2014,Transport and communications,5249000000
2007,Transport and communications,3214000000
2009,Transport and communications,4209000000
2012,Transport and communications,5413000000
2005,Transport and communications,2770000000
2010,Transport and communications,4693000000
2006,Transport and communications,3063000000
2013,Transport and communications,5100000000
2011,Transport and communications,5272000000
2008,Other economic affairs,3670000000
2014,Other economic affairs,5249000000
2007,Other economic affairs,3214000000
2009,Other economic affairs,4209000000
2012,Other economic affairs,5413000000
2005,Other economic affairs,2770000000
2010,Other economic affairs,4693000000
2006,Other economic affairs,3063000000
2013,Other economic affairs,5100000000
2011,Other economic affairs,5272000000
2008,Nominal interest on superannuation,3670000000
2014,Nominal interest on superannuation,5249000000
2007,Nominal interest on superannuation,3214000000
2009,Nominal interest on superannuation,4209000000
2012,Nominal interest on superannuation,5413000000
2005,Nominal interest on superannuation,2770000000
2010,Nominal interest on superannuation,4693000000
2006,Nominal interest on superannuation,3063000000
2013,Nominal interest on superannuation,5100000000
2011,Nominal interest on superannuation,5272000000
2008,Public debt transactions,3670000000
2014,Public debt transactions,5249000000
2007,Public debt transactions,3214000000
2009,Public debt transactions,4209000000
2012,Public debt transactions,5413000000
2005,Public debt transactions,2770000000
2010,Public debt transactions,4693000000
2006,Public debt transactions,3063000000
2013,Public debt transactions,5100000000
2011,Public debt transactions,5272000000
2008,Other purposes,3670000000
2014,Other purposes,5249000000
2007,Other purposes,3214000000
2009,Other purposes,4209000000
2012,Other purposes,5413000000
2005,Other purposes,2770000000
2010,Other purposes,4693000000
2006,Other purposes,3063000000
2013,Other purposes,5100000000
2011,Other purposes,5272000000
2008,Net acquisition of non-financial assets,3670000000
2014,Net acquisition of non-financial assets,5249000000
2007,Net acquisition of non-financial assets,3214000000
2009,Net acquisition of non-financial assets,4209000000
2012,Net acquisition of non-financial assets,5413000000
2005,Net acquisition of non-financial assets,2770000000
2010,Net acquisition of non-financial assets,4693000000
2006,Net acquisition of non-financial assets,3063000000
2013,Net acquisition of non-financial assets,5100000000
2011,Net acquisition of non-financial assets,5272000000
