year,category,amount
2008,Deposits held,4878000000
2014,Deposits held,8835000000
2007,Deposits held,4787000000
2009,Deposits held,5094000000
2012,Deposits held,7857000000
2005,Deposits held,3794000000
2010,Deposits held,5668000000
2006,Deposits held,4112000000
2013,Deposits held,8114000000
2011,Deposits held,5884000000
2008,Advances received,4878000000
2014,Advances received,8835000000
2007,Advances received,4787000000
2009,Advances received,5094000000
2012,Advances received,7857000000
2005,Advances received,3794000000
2010,Advances received,5668000000
2006,Advances received,4112000000
2013,Advances received,8114000000
2011,Advances received,5884000000
2008,Borrowing,4878000000
2014,Borrowing,8835000000
2007,Borrowing,4787000000
2009,Borrowing,5094000000
2012,Borrowing,7857000000
2005,Borrowing,3794000000
2010,Borrowing,5668000000
2006,Borrowing,4112000000
2013,Borrowing,8114000000
2011,Borrowing,5884000000
2008,Unfunded superannuation liability and other employee entitlements,4878000000
2014,Unfunded superannuation liability and other employee entitlements,8835000000
2007,Unfunded superannuation liability and other employee entitlements,4787000000
2009,Unfunded superannuation liability and other employee entitlements,5094000000
2012,Unfunded superannuation liability and other employee entitlements,7857000000
2005,Unfunded superannuation liability and other employee entitlements,3794000000
2010,Unfunded superannuation liability and other employee entitlements,5668000000
2006,Unfunded superannuation liability and other employee entitlements,4112000000
2013,Unfunded superannuation liability and other employee entitlements,8114000000
2011,Unfunded superannuation liability and other employee entitlements,5884000000
2008,Other provisions,4878000000
2014,Other provisions,8835000000
2007,Other provisions,4787000000
2009,Other provisions,5094000000
2012,Other provisions,7857000000
2005,Other provisions,3794000000
2010,Other provisions,5668000000
2006,Other provisions,4112000000
2013,Other provisions,8114000000
2011,Other provisions,5884000000
2008,Other non-equity liabilities,4878000000
2014,Other non-equity liabilities,8835000000
2007,Other non-equity liabilities,4787000000
2009,Other non-equity liabilities,5094000000
2012,Other non-equity liabilities,7857000000
2005,Other non-equity liabilities,3794000000
2010,Other non-equity liabilities,5668000000
2006,Other non-equity liabilities,4112000000
2013,Other non-equity liabilities,8114000000
2011,Other non-equity liabilities,5884000000
