year,category,amount
2008,Taxation revenue,3869000000
2014,Taxation revenue,5151000000
2007,Taxation revenue,3289000000
2009,Taxation revenue,4187000000
2012,Taxation revenue,4906000000
2005,Taxation revenue,2713000000
2010,Taxation revenue,4652000000
2006,Taxation revenue,3002000000
2013,Taxation revenue,4787000000
2011,Taxation revenue,4722000000
2008,Current grants and subsidies,3869000000
2014,Current grants and subsidies,5151000000
2007,Current grants and subsidies,3289000000
2009,Current grants and subsidies,4187000000
2012,Current grants and subsidies,4906000000
2005,Current grants and subsidies,2713000000
2010,Current grants and subsidies,4652000000
2006,Current grants and subsidies,3002000000
2013,Current grants and subsidies,4787000000
2011,Current grants and subsidies,4722000000
2008,Sales of goods and services,3869000000
2014,Sales of goods and services,5151000000
2007,Sales of goods and services,3289000000
2009,Sales of goods and services,4187000000
2012,Sales of goods and services,4906000000
2005,Sales of goods and services,2713000000
2010,Sales of goods and services,4652000000
2006,Sales of goods and services,3002000000
2013,Sales of goods and services,4787000000
2011,Sales of goods and services,4722000000
2008,Interest income,3869000000
2014,Interest income,5151000000
2007,Interest income,3289000000
2009,Interest income,4187000000
2012,Interest income,4906000000
2005,Interest income,2713000000
2010,Interest income,4652000000
2006,Interest income,3002000000
2013,Interest income,4787000000
2011,Interest income,4722000000
2008,Other revenue,3869000000
2014,Other revenue,5151000000
2007,Other revenue,3289000000
2009,Other revenue,4187000000
2012,Other revenue,4906000000
2005,Other revenue,2713000000
2010,Other revenue,4652000000
2006,Other revenue,3002000000
2013,Other revenue,4787000000
2011,Other revenue,4722000000
