year,category,amount
2008,Financial assets,192340000000
2014,Financial assets,249704000000
2007,Financial assets,148767000000
2009,Financial assets,228664000000
2012,Financial assets,239707000000
2005,Financial assets,118981000000
2010,Financial assets,227268000000
2006,Financial assets,132497000000
2013,Financial assets,251073000000
2011,Financial assets,233747000000
2008,Non-financial assets,192340000000
2014,Non-financial assets,249704000000
2007,Non-financial assets,148767000000
2009,Non-financial assets,228664000000
2012,Non-financial assets,239707000000
2005,Non-financial assets,118981000000
2010,Non-financial assets,227268000000
2006,Non-financial assets,132497000000
2013,Non-financial assets,251073000000
2011,Non-financial assets,233747000000
