year,category,amount
2008,General public services,36719000000
2014,General public services,49326000000
2007,General public services,32268000000
2009,General public services,41449000000
2012,General public services,51359000000
2005,General public services,24777000000
2010,General public services,46310000000
2006,General public services,27689000000
2013,General public services,49485000000
2011,General public services,49084000000
2008,Defence,36719000000
2014,Defence,49326000000
2007,Defence,32268000000
2009,Defence,41449000000
2012,Defence,51359000000
2005,Defence,24777000000
2010,Defence,46310000000
2006,Defence,27689000000
2013,Defence,49485000000
2011,Defence,49084000000
2008,Public order and safety,36719000000
2014,Public order and safety,49326000000
2007,Public order and safety,32268000000
2009,Public order and safety,41449000000
2012,Public order and safety,51359000000
2005,Public order and safety,24777000000
2010,Public order and safety,46310000000
2006,Public order and safety,27689000000
2013,Public order and safety,49485000000
2011,Public order and safety,49084000000
2008,Education,36719000000
2014,Education,49326000000
2007,Education,32268000000
2009,Education,41449000000
2012,Education,51359000000
2005,Education,24777000000
2010,Education,46310000000
2006,Education,27689000000
2013,Education,49485000000
2011,Education,49084000000
2008,Health,36719000000
2014,Health,49326000000
2007,Health,32268000000
2009,Health,41449000000
2012,Health,51359000000
2005,Health,24777000000
2010,Health,46310000000
2006,Health,27689000000
2013,Health,49485000000
2011,Health,49084000000
2008,Social security and welfare,36719000000
2014,Social security and welfare,49326000000
2007,Social security and welfare,32268000000
2009,Social security and welfare,41449000000
2012,Social security and welfare,51359000000
2005,Social security and welfare,24777000000
2010,Social security and welfare,46310000000
2006,Social security and welfare,27689000000
2013,Social security and welfare,49485000000
2011,Social security and welfare,49084000000
2008,Housing and community amenities,36719000000
2014,Housing and community amenities,49326000000
2007,Housing and community amenities,32268000000
2009,Housing and community amenities,41449000000
2012,Housing and community amenities,51359000000
2005,Housing and community amenities,24777000000
2010,Housing and community amenities,46310000000
2006,Housing and community amenities,27689000000
2013,Housing and community amenities,49485000000
2011,Housing and community amenities,49084000000
2008,Recreation and culture,36719000000
2014,Recreation and culture,49326000000
2007,Recreation and culture,32268000000
2009,Recreation and culture,41449000000
2012,Recreation and culture,51359000000
2005,Recreation and culture,24777000000
2010,Recreation and culture,46310000000
2006,Recreation and culture,27689000000
2013,Recreation and culture,49485000000
2011,Recreation and culture,49084000000
2008,Fuel and energy,36719000000
2014,Fuel and energy,49326000000
2007,Fuel and energy,32268000000
2009,Fuel and energy,41449000000
2012,Fuel and energy,51359000000
2005,Fuel and energy,24777000000
2010,Fuel and energy,46310000000
2006,Fuel and energy,27689000000
2013,Fuel and energy,49485000000
2011,Fuel and energy,49084000000
2008,"Agriculture, forestry and fishing",36719000000
2014,"Agriculture, forestry and fishing",49326000000
2007,"Agriculture, forestry and fishing",32268000000
2009,"Agriculture, forestry and fishing",41449000000
2012,"Agriculture, forestry and fishing",51359000000
2005,"Agriculture, forestry and fishing",24777000000
2010,"Agriculture, forestry and fishing",46310000000
2006,"Agriculture, forestry and fishing",27689000000
2013,"Agriculture, forestry and fishing",49485000000
2011,"Agriculture, forestry and fishing",49084000000
2008,"Mining, manufacturing and construction",36719000000
2014,"Mining, manufacturing and construction",49326000000
2007,"Mining, manufacturing and construction",32268000000
2009,"Mining, manufacturing and construction",41449000000
2012,"Mining, manufacturing and construction",51359000000
2005,"Mining, manufacturing and construction",24777000000
2010,"Mining, manufacturing and construction",46310000000
2006,"Mining, manufacturing and construction",27689000000
2013,"Mining, manufacturing and construction",49485000000
2011,"Mining, manufacturing and construction",49084000000
2008,Transport and communications,36719000000
2014,Transport and communications,49326000000
2007,Transport and communications,32268000000
2009,Transport and communications,41449000000
2012,Transport and communications,51359000000
2005,Transport and communications,24777000000
2010,Transport and communications,46310000000
2006,Transport and communications,27689000000
2013,Transport and communications,49485000000
2011,Transport and communications,49084000000
2008,Other economic affairs,36719000000
2014,Other economic affairs,49326000000
2007,Other economic affairs,32268000000
2009,Other economic affairs,41449000000
2012,Other economic affairs,51359000000
2005,Other economic affairs,24777000000
2010,Other economic affairs,46310000000
2006,Other economic affairs,27689000000
2013,Other economic affairs,49485000000
2011,Other economic affairs,49084000000
2008,Nominal interest on superannuation,36719000000
2014,Nominal interest on superannuation,49326000000
2007,Nominal interest on superannuation,32268000000
2009,Nominal interest on superannuation,41449000000
2012,Nominal interest on superannuation,51359000000
2005,Nominal interest on superannuation,24777000000
2010,Nominal interest on superannuation,46310000000
2006,Nominal interest on superannuation,27689000000
2013,Nominal interest on superannuation,49485000000
2011,Nominal interest on superannuation,49084000000
2008,Public debt transactions,36719000000
2014,Public debt transactions,49326000000
2007,Public debt transactions,32268000000
2009,Public debt transactions,41449000000
2012,Public debt transactions,51359000000
2005,Public debt transactions,24777000000
2010,Public debt transactions,46310000000
2006,Public debt transactions,27689000000
2013,Public debt transactions,49485000000
2011,Public debt transactions,49084000000
2008,Other purposes,36719000000
2014,Other purposes,49326000000
2007,Other purposes,32268000000
2009,Other purposes,41449000000
2012,Other purposes,51359000000
2005,Other purposes,24777000000
2010,Other purposes,46310000000
2006,Other purposes,27689000000
2013,Other purposes,49485000000
2011,Other purposes,49084000000
2008,Net acquisition of non-financial assets,36719000000
2014,Net acquisition of non-financial assets,49326000000
2007,Net acquisition of non-financial assets,32268000000
2009,Net acquisition of non-financial assets,41449000000
2012,Net acquisition of non-financial assets,51359000000
2005,Net acquisition of non-financial assets,24777000000
2010,Net acquisition of non-financial assets,46310000000
2006,Net acquisition of non-financial assets,27689000000
2013,Net acquisition of non-financial assets,49485000000
2011,Net acquisition of non-financial assets,49084000000
