year,category,amount
2008,Deposits held,37180000000
2014,Deposits held,78119000000
2007,Deposits held,30960000000
2009,Deposits held,43490000000
2012,Deposits held,71585000000
2005,Deposits held,22557000000
2010,Deposits held,50694000000
2006,Deposits held,27447000000
2013,Deposits held,75198000000
2011,Deposits held,61311000000
2008,Advances received,37180000000
2014,Advances received,78119000000
2007,Advances received,30960000000
2009,Advances received,43490000000
2012,Advances received,71585000000
2005,Advances received,22557000000
2010,Advances received,50694000000
2006,Advances received,27447000000
2013,Advances received,75198000000
2011,Advances received,61311000000
2008,Borrowing,37180000000
2014,Borrowing,78119000000
2007,Borrowing,30960000000
2009,Borrowing,43490000000
2012,Borrowing,71585000000
2005,Borrowing,22557000000
2010,Borrowing,50694000000
2006,Borrowing,27447000000
2013,Borrowing,75198000000
2011,Borrowing,61311000000
2008,Unfunded superannuation liability and other employee entitlements,37180000000
2014,Unfunded superannuation liability and other employee entitlements,78119000000
2007,Unfunded superannuation liability and other employee entitlements,30960000000
2009,Unfunded superannuation liability and other employee entitlements,43490000000
2012,Unfunded superannuation liability and other employee entitlements,71585000000
2005,Unfunded superannuation liability and other employee entitlements,22557000000
2010,Unfunded superannuation liability and other employee entitlements,50694000000
2006,Unfunded superannuation liability and other employee entitlements,27447000000
2013,Unfunded superannuation liability and other employee entitlements,75198000000
2011,Unfunded superannuation liability and other employee entitlements,61311000000
2008,Other provisions,37180000000
2014,Other provisions,78119000000
2007,Other provisions,30960000000
2009,Other provisions,43490000000
2012,Other provisions,71585000000
2005,Other provisions,22557000000
2010,Other provisions,50694000000
2006,Other provisions,27447000000
2013,Other provisions,75198000000
2011,Other provisions,61311000000
2008,Other non-equity liabilities,37180000000
2014,Other non-equity liabilities,78119000000
2007,Other non-equity liabilities,30960000000
2009,Other non-equity liabilities,43490000000
2012,Other non-equity liabilities,71585000000
2005,Other non-equity liabilities,22557000000
2010,Other non-equity liabilities,50694000000
2006,Other non-equity liabilities,27447000000
2013,Other non-equity liabilities,75198000000
2011,Other non-equity liabilities,61311000000
