year,category,amount
2012,Net Operating Costs,53971000000
2010,Net Operating Costs,42134000000
2011,Net Operating Costs,53772000000
2012,Impairment charges less reversals,53971000000
2010,Impairment charges less reversals,42134000000
2011,Impairment charges less reversals,53772000000
2012,Exploration and evaluation costs,53971000000
2010,Exploration and evaluation costs,42134000000
2011,Exploration and evaluation costs,53772000000
2012,Other ,53971000000
2010,Other ,42134000000
2011,Other ,53772000000
2012,Taxation,53971000000
2010,Taxation,42134000000
2011,Taxation,53772000000
