year,category,amount
2012,Iron Ore,50967000000
2010,Iron Ore,55171000000
2011,Iron Ore,60537000000
2012,Aluminium,50967000000
2010,Aluminium,55171000000
2011,Aluminium,60537000000
2012,Copper,50967000000
2010,Copper,55171000000
2011,Copper,60537000000
2012,Energy,50967000000
2010,Energy,55171000000
2011,Energy,60537000000
2012,Diamonds & Minerals,50967000000
2010,Diamonds & Minerals,55171000000
2011,Diamonds & Minerals,60537000000
2012,Other ,50967000000
2010,Other ,55171000000
2011,Other ,60537000000
