year,category,amount
2012,Canada                        ,1356744000000
2013,Canada                        ,1337149000000
2011,Canada                        ,1354359000000
2012,USA                           ,1356744000000
2013,USA                           ,1337149000000
2011,USA                           ,1354359000000
2012,"China, P. R.                  ",1356744000000
2013,"China, P. R.                  ",1337149000000
2011,"China, P. R.                  ",1354359000000
2012,Indonesia                     ,1356744000000
2013,Indonesia                     ,1337149000000
2011,Indonesia                     ,1354359000000
2012,Japan                         ,1356744000000
2013,Japan                         ,1337149000000
2011,Japan                         ,1354359000000
2012,"Korea, South                  ",1356744000000
2013,"Korea, South                  ",1337149000000
2011,"Korea, South                  ",1354359000000
2012,Singapore                     ,1356744000000
2013,Singapore                     ,1337149000000
2011,Singapore                     ,1354359000000
2012,Taiwan                        ,1356744000000
2013,Taiwan                        ,1337149000000
2011,Taiwan                        ,1354359000000
2012,India                         ,1356744000000
2013,India                         ,1337149000000
2011,India                         ,1354359000000
2012,Pakistan                      ,1356744000000
2013,Pakistan                      ,1337149000000
2011,Pakistan                      ,1354359000000
2012,Australia                     ,1356744000000
2013,Australia                     ,1337149000000
2011,Australia                     ,1354359000000
2012,New Zealand                   ,1356744000000
2013,New Zealand                   ,1337149000000
2011,New Zealand                   ,1354359000000
2012,Finland                       ,1356744000000
2013,Finland                       ,1337149000000
2011,Finland                       ,1354359000000
2012,France                        ,1356744000000
2013,France                        ,1337149000000
2011,France                        ,1354359000000
2012,Germany                       ,1356744000000
2013,Germany                       ,1337149000000
2011,Germany                       ,1354359000000
2012,Russia/USSR,1356744000000
2013,Russia/USSR,1337149000000
2011,Russia/USSR,1354359000000
2012,Switzerland                   ,1356744000000
2013,Switzerland                   ,1337149000000
2011,Switzerland                   ,1354359000000
2012,Turkey                        ,1356744000000
2013,Turkey                        ,1337149000000
2011,Turkey                        ,1354359000000
2012,UK                            ,1356744000000
2013,UK                            ,1337149000000
2011,UK                            ,1354359000000
