year,category,amount
2008,Financial assets,36702000000
2014,Financial assets,63413000000
2007,Financial assets,33949000000
2009,Financial assets,41056000000
2012,Financial assets,60721000000
2005,Financial assets,29783000000
2010,Financial assets,55059000000
2006,Financial assets,32424000000
2013,Financial assets,61599000000
2011,Financial assets,61182000000
2008,Non-financial assets,36702000000
2014,Non-financial assets,63413000000
2007,Non-financial assets,33949000000
2009,Non-financial assets,41056000000
2012,Non-financial assets,60721000000
2005,Non-financial assets,29783000000
2010,Non-financial assets,55059000000
2006,Non-financial assets,32424000000
2013,Non-financial assets,61599000000
2011,Non-financial assets,61182000000
