year,category,amount
2008,General public services,12677000000
2014,General public services,17084000000
2007,General public services,11685000000
2009,General public services,14385000000
2012,General public services,17022000000
2005,General public services,10535000000
2010,General public services,16632000000
2006,General public services,11133000000
2013,General public services,16022000000
2011,General public services,16432000000
2008,Defence,12677000000
2014,Defence,17084000000
2007,Defence,11685000000
2009,Defence,14385000000
2012,Defence,17022000000
2005,Defence,10535000000
2010,Defence,16632000000
2006,Defence,11133000000
2013,Defence,16022000000
2011,Defence,16432000000
2008,Public order and safety,12677000000
2014,Public order and safety,17084000000
2007,Public order and safety,11685000000
2009,Public order and safety,14385000000
2012,Public order and safety,17022000000
2005,Public order and safety,10535000000
2010,Public order and safety,16632000000
2006,Public order and safety,11133000000
2013,Public order and safety,16022000000
2011,Public order and safety,16432000000
2008,Education,12677000000
2014,Education,17084000000
2007,Education,11685000000
2009,Education,14385000000
2012,Education,17022000000
2005,Education,10535000000
2010,Education,16632000000
2006,Education,11133000000
2013,Education,16022000000
2011,Education,16432000000
2008,Health,12677000000
2014,Health,17084000000
2007,Health,11685000000
2009,Health,14385000000
2012,Health,17022000000
2005,Health,10535000000
2010,Health,16632000000
2006,Health,11133000000
2013,Health,16022000000
2011,Health,16432000000
2008,Social security and welfare,12677000000
2014,Social security and welfare,17084000000
2007,Social security and welfare,11685000000
2009,Social security and welfare,14385000000
2012,Social security and welfare,17022000000
2005,Social security and welfare,10535000000
2010,Social security and welfare,16632000000
2006,Social security and welfare,11133000000
2013,Social security and welfare,16022000000
2011,Social security and welfare,16432000000
2008,Housing and community amenities,12677000000
2014,Housing and community amenities,17084000000
2007,Housing and community amenities,11685000000
2009,Housing and community amenities,14385000000
2012,Housing and community amenities,17022000000
2005,Housing and community amenities,10535000000
2010,Housing and community amenities,16632000000
2006,Housing and community amenities,11133000000
2013,Housing and community amenities,16022000000
2011,Housing and community amenities,16432000000
2008,Recreation and culture,12677000000
2014,Recreation and culture,17084000000
2007,Recreation and culture,11685000000
2009,Recreation and culture,14385000000
2012,Recreation and culture,17022000000
2005,Recreation and culture,10535000000
2010,Recreation and culture,16632000000
2006,Recreation and culture,11133000000
2013,Recreation and culture,16022000000
2011,Recreation and culture,16432000000
2008,Fuel and energy,12677000000
2014,Fuel and energy,17084000000
2007,Fuel and energy,11685000000
2009,Fuel and energy,14385000000
2012,Fuel and energy,17022000000
2005,Fuel and energy,10535000000
2010,Fuel and energy,16632000000
2006,Fuel and energy,11133000000
2013,Fuel and energy,16022000000
2011,Fuel and energy,16432000000
2008,"Agriculture, forestry and fishing",12677000000
2014,"Agriculture, forestry and fishing",17084000000
2007,"Agriculture, forestry and fishing",11685000000
2009,"Agriculture, forestry and fishing",14385000000
2012,"Agriculture, forestry and fishing",17022000000
2005,"Agriculture, forestry and fishing",10535000000
2010,"Agriculture, forestry and fishing",16632000000
2006,"Agriculture, forestry and fishing",11133000000
2013,"Agriculture, forestry and fishing",16022000000
2011,"Agriculture, forestry and fishing",16432000000
2008,"Mining, manufacturing and construction",12677000000
2014,"Mining, manufacturing and construction",17084000000
2007,"Mining, manufacturing and construction",11685000000
2009,"Mining, manufacturing and construction",14385000000
2012,"Mining, manufacturing and construction",17022000000
2005,"Mining, manufacturing and construction",10535000000
2010,"Mining, manufacturing and construction",16632000000
2006,"Mining, manufacturing and construction",11133000000
2013,"Mining, manufacturing and construction",16022000000
2011,"Mining, manufacturing and construction",16432000000
2008,Transport and communications,12677000000
2014,Transport and communications,17084000000
2007,Transport and communications,11685000000
2009,Transport and communications,14385000000
2012,Transport and communications,17022000000
2005,Transport and communications,10535000000
2010,Transport and communications,16632000000
2006,Transport and communications,11133000000
2013,Transport and communications,16022000000
2011,Transport and communications,16432000000
2008,Other economic affairs,12677000000
2014,Other economic affairs,17084000000
2007,Other economic affairs,11685000000
2009,Other economic affairs,14385000000
2012,Other economic affairs,17022000000
2005,Other economic affairs,10535000000
2010,Other economic affairs,16632000000
2006,Other economic affairs,11133000000
2013,Other economic affairs,16022000000
2011,Other economic affairs,16432000000
2008,Nominal interest on superannuation,12677000000
2014,Nominal interest on superannuation,17084000000
2007,Nominal interest on superannuation,11685000000
2009,Nominal interest on superannuation,14385000000
2012,Nominal interest on superannuation,17022000000
2005,Nominal interest on superannuation,10535000000
2010,Nominal interest on superannuation,16632000000
2006,Nominal interest on superannuation,11133000000
2013,Nominal interest on superannuation,16022000000
2011,Nominal interest on superannuation,16432000000
2008,Public debt transactions,12677000000
2014,Public debt transactions,17084000000
2007,Public debt transactions,11685000000
2009,Public debt transactions,14385000000
2012,Public debt transactions,17022000000
2005,Public debt transactions,10535000000
2010,Public debt transactions,16632000000
2006,Public debt transactions,11133000000
2013,Public debt transactions,16022000000
2011,Public debt transactions,16432000000
2008,Other purposes,12677000000
2014,Other purposes,17084000000
2007,Other purposes,11685000000
2009,Other purposes,14385000000
2012,Other purposes,17022000000
2005,Other purposes,10535000000
2010,Other purposes,16632000000
2006,Other purposes,11133000000
2013,Other purposes,16022000000
2011,Other purposes,16432000000
2008,Net acquisition of non-financial assets,12677000000
2014,Net acquisition of non-financial assets,17084000000
2007,Net acquisition of non-financial assets,11685000000
2009,Net acquisition of non-financial assets,14385000000
2012,Net acquisition of non-financial assets,17022000000
2005,Net acquisition of non-financial assets,10535000000
2010,Net acquisition of non-financial assets,16632000000
2006,Net acquisition of non-financial assets,11133000000
2013,Net acquisition of non-financial assets,16022000000
2011,Net acquisition of non-financial assets,16432000000
