year,category,amount
2008,Deposits held,15503000000
2014,Deposits held,23735000000
2007,Deposits held,11203000000
2009,Deposits held,16904000000
2012,Deposits held,23512000000
2005,Deposits held,13062000000
2010,Deposits held,18820000000
2006,Deposits held,12134000000
2013,Deposits held,22229000000
2011,Deposits held,20225000000
2008,Advances received,15503000000
2014,Advances received,23735000000
2007,Advances received,11203000000
2009,Advances received,16904000000
2012,Advances received,23512000000
2005,Advances received,13062000000
2010,Advances received,18820000000
2006,Advances received,12134000000
2013,Advances received,22229000000
2011,Advances received,20225000000
2008,Borrowing,15503000000
2014,Borrowing,23735000000
2007,Borrowing,11203000000
2009,Borrowing,16904000000
2012,Borrowing,23512000000
2005,Borrowing,13062000000
2010,Borrowing,18820000000
2006,Borrowing,12134000000
2013,Borrowing,22229000000
2011,Borrowing,20225000000
2008,Unfunded superannuation liability and other employee entitlements,15503000000
2014,Unfunded superannuation liability and other employee entitlements,23735000000
2007,Unfunded superannuation liability and other employee entitlements,11203000000
2009,Unfunded superannuation liability and other employee entitlements,16904000000
2012,Unfunded superannuation liability and other employee entitlements,23512000000
2005,Unfunded superannuation liability and other employee entitlements,13062000000
2010,Unfunded superannuation liability and other employee entitlements,18820000000
2006,Unfunded superannuation liability and other employee entitlements,12134000000
2013,Unfunded superannuation liability and other employee entitlements,22229000000
2011,Unfunded superannuation liability and other employee entitlements,20225000000
2008,Other provisions,15503000000
2014,Other provisions,23735000000
2007,Other provisions,11203000000
2009,Other provisions,16904000000
2012,Other provisions,23512000000
2005,Other provisions,13062000000
2010,Other provisions,18820000000
2006,Other provisions,12134000000
2013,Other provisions,22229000000
2011,Other provisions,20225000000
2008,Other non-equity liabilities,15503000000
2014,Other non-equity liabilities,23735000000
2007,Other non-equity liabilities,11203000000
2009,Other non-equity liabilities,16904000000
2012,Other non-equity liabilities,23512000000
2005,Other non-equity liabilities,13062000000
2010,Other non-equity liabilities,18820000000
2006,Other non-equity liabilities,12134000000
2013,Other non-equity liabilities,22229000000
2011,Other non-equity liabilities,20225000000
