year,category,amount
2008,Taxation revenue,12879000000
2014,Taxation revenue,15365000000
2007,Taxation revenue,11723000000
2009,Taxation revenue,13533000000
2012,Taxation revenue,15920000000
2005,Taxation revenue,10592000000
2010,Taxation revenue,15543000000
2006,Taxation revenue,11028000000
2013,Taxation revenue,15021000000
2011,Taxation revenue,15029000000
2008,Current grants and subsidies,12879000000
2014,Current grants and subsidies,15365000000
2007,Current grants and subsidies,11723000000
2009,Current grants and subsidies,13533000000
2012,Current grants and subsidies,15920000000
2005,Current grants and subsidies,10592000000
2010,Current grants and subsidies,15543000000
2006,Current grants and subsidies,11028000000
2013,Current grants and subsidies,15021000000
2011,Current grants and subsidies,15029000000
2008,Sales of goods and services,12879000000
2014,Sales of goods and services,15365000000
2007,Sales of goods and services,11723000000
2009,Sales of goods and services,13533000000
2012,Sales of goods and services,15920000000
2005,Sales of goods and services,10592000000
2010,Sales of goods and services,15543000000
2006,Sales of goods and services,11028000000
2013,Sales of goods and services,15021000000
2011,Sales of goods and services,15029000000
2008,Interest income,12879000000
2014,Interest income,15365000000
2007,Interest income,11723000000
2009,Interest income,13533000000
2012,Interest income,15920000000
2005,Interest income,10592000000
2010,Interest income,15543000000
2006,Interest income,11028000000
2013,Interest income,15021000000
2011,Interest income,15029000000
2008,Other revenue,12879000000
2014,Other revenue,15365000000
2007,Other revenue,11723000000
2009,Other revenue,13533000000
2012,Other revenue,15920000000
2005,Other revenue,10592000000
2010,Other revenue,15543000000
2006,Other revenue,11028000000
2013,Other revenue,15021000000
2011,Other revenue,15029000000
