year,category,amount
2008,Financial assets,16169000000
2014,Financial assets,18205000000
2007,Financial assets,14437000000
2009,Financial assets,16872000000
2012,Financial assets,18163000000
2005,Financial assets,12511000000
2010,Financial assets,17341000000
2006,Financial assets,13424000000
2013,Financial assets,18249000000
2011,Financial assets,16858000000
2008,Non-financial assets,16169000000
2014,Non-financial assets,18205000000
2007,Non-financial assets,14437000000
2009,Non-financial assets,16872000000
2012,Non-financial assets,18163000000
2005,Non-financial assets,12511000000
2010,Non-financial assets,17341000000
2006,Non-financial assets,13424000000
2013,Non-financial assets,18249000000
2011,Non-financial assets,16858000000
