year,category,amount
2008,General public services,3898000000
2014,General public services,5069000000
2007,General public services,3657000000
2009,General public services,4385000000
2012,General public services,4954000000
2005,General public services,3262000000
2010,General public services,4899000000
2006,General public services,3604000000
2013,General public services,4867000000
2011,General public services,5211000000
2008,Defence,3898000000
2014,Defence,5069000000
2007,Defence,3657000000
2009,Defence,4385000000
2012,Defence,4954000000
2005,Defence,3262000000
2010,Defence,4899000000
2006,Defence,3604000000
2013,Defence,4867000000
2011,Defence,5211000000
2008,Public order and safety,3898000000
2014,Public order and safety,5069000000
2007,Public order and safety,3657000000
2009,Public order and safety,4385000000
2012,Public order and safety,4954000000
2005,Public order and safety,3262000000
2010,Public order and safety,4899000000
2006,Public order and safety,3604000000
2013,Public order and safety,4867000000
2011,Public order and safety,5211000000
2008,Education,3898000000
2014,Education,5069000000
2007,Education,3657000000
2009,Education,4385000000
2012,Education,4954000000
2005,Education,3262000000
2010,Education,4899000000
2006,Education,3604000000
2013,Education,4867000000
2011,Education,5211000000
2008,Health,3898000000
2014,Health,5069000000
2007,Health,3657000000
2009,Health,4385000000
2012,Health,4954000000
2005,Health,3262000000
2010,Health,4899000000
2006,Health,3604000000
2013,Health,4867000000
2011,Health,5211000000
2008,Social security and welfare,3898000000
2014,Social security and welfare,5069000000
2007,Social security and welfare,3657000000
2009,Social security and welfare,4385000000
2012,Social security and welfare,4954000000
2005,Social security and welfare,3262000000
2010,Social security and welfare,4899000000
2006,Social security and welfare,3604000000
2013,Social security and welfare,4867000000
2011,Social security and welfare,5211000000
2008,Housing and community amenities,3898000000
2014,Housing and community amenities,5069000000
2007,Housing and community amenities,3657000000
2009,Housing and community amenities,4385000000
2012,Housing and community amenities,4954000000
2005,Housing and community amenities,3262000000
2010,Housing and community amenities,4899000000
2006,Housing and community amenities,3604000000
2013,Housing and community amenities,4867000000
2011,Housing and community amenities,5211000000
2008,Recreation and culture,3898000000
2014,Recreation and culture,5069000000
2007,Recreation and culture,3657000000
2009,Recreation and culture,4385000000
2012,Recreation and culture,4954000000
2005,Recreation and culture,3262000000
2010,Recreation and culture,4899000000
2006,Recreation and culture,3604000000
2013,Recreation and culture,4867000000
2011,Recreation and culture,5211000000
2008,Fuel and energy,3898000000
2014,Fuel and energy,5069000000
2007,Fuel and energy,3657000000
2009,Fuel and energy,4385000000
2012,Fuel and energy,4954000000
2005,Fuel and energy,3262000000
2010,Fuel and energy,4899000000
2006,Fuel and energy,3604000000
2013,Fuel and energy,4867000000
2011,Fuel and energy,5211000000
2008,"Agriculture, forestry and fishing",3898000000
2014,"Agriculture, forestry and fishing",5069000000
2007,"Agriculture, forestry and fishing",3657000000
2009,"Agriculture, forestry and fishing",4385000000
2012,"Agriculture, forestry and fishing",4954000000
2005,"Agriculture, forestry and fishing",3262000000
2010,"Agriculture, forestry and fishing",4899000000
2006,"Agriculture, forestry and fishing",3604000000
2013,"Agriculture, forestry and fishing",4867000000
2011,"Agriculture, forestry and fishing",5211000000
2008,"Mining, manufacturing and construction",3898000000
2014,"Mining, manufacturing and construction",5069000000
2007,"Mining, manufacturing and construction",3657000000
2009,"Mining, manufacturing and construction",4385000000
2012,"Mining, manufacturing and construction",4954000000
2005,"Mining, manufacturing and construction",3262000000
2010,"Mining, manufacturing and construction",4899000000
2006,"Mining, manufacturing and construction",3604000000
2013,"Mining, manufacturing and construction",4867000000
2011,"Mining, manufacturing and construction",5211000000
2008,Transport and communications,3898000000
2014,Transport and communications,5069000000
2007,Transport and communications,3657000000
2009,Transport and communications,4385000000
2012,Transport and communications,4954000000
2005,Transport and communications,3262000000
2010,Transport and communications,4899000000
2006,Transport and communications,3604000000
2013,Transport and communications,4867000000
2011,Transport and communications,5211000000
2008,Other economic affairs,3898000000
2014,Other economic affairs,5069000000
2007,Other economic affairs,3657000000
2009,Other economic affairs,4385000000
2012,Other economic affairs,4954000000
2005,Other economic affairs,3262000000
2010,Other economic affairs,4899000000
2006,Other economic affairs,3604000000
2013,Other economic affairs,4867000000
2011,Other economic affairs,5211000000
2008,Nominal interest on superannuation,3898000000
2014,Nominal interest on superannuation,5069000000
2007,Nominal interest on superannuation,3657000000
2009,Nominal interest on superannuation,4385000000
2012,Nominal interest on superannuation,4954000000
2005,Nominal interest on superannuation,3262000000
2010,Nominal interest on superannuation,4899000000
2006,Nominal interest on superannuation,3604000000
2013,Nominal interest on superannuation,4867000000
2011,Nominal interest on superannuation,5211000000
2008,Public debt transactions,3898000000
2014,Public debt transactions,5069000000
2007,Public debt transactions,3657000000
2009,Public debt transactions,4385000000
2012,Public debt transactions,4954000000
2005,Public debt transactions,3262000000
2010,Public debt transactions,4899000000
2006,Public debt transactions,3604000000
2013,Public debt transactions,4867000000
2011,Public debt transactions,5211000000
2008,Other purposes,3898000000
2014,Other purposes,5069000000
2007,Other purposes,3657000000
2009,Other purposes,4385000000
2012,Other purposes,4954000000
2005,Other purposes,3262000000
2010,Other purposes,4899000000
2006,Other purposes,3604000000
2013,Other purposes,4867000000
2011,Other purposes,5211000000
2008,Net acquisition of non-financial assets,3898000000
2014,Net acquisition of non-financial assets,5069000000
2007,Net acquisition of non-financial assets,3657000000
2009,Net acquisition of non-financial assets,4385000000
2012,Net acquisition of non-financial assets,4954000000
2005,Net acquisition of non-financial assets,3262000000
2010,Net acquisition of non-financial assets,4899000000
2006,Net acquisition of non-financial assets,3604000000
2013,Net acquisition of non-financial assets,4867000000
2011,Net acquisition of non-financial assets,5211000000
