year,category,amount
2008,Deposits held,4731000000
2014,Deposits held,8855000000
2007,Deposits held,4760000000
2009,Deposits held,5132000000
2012,Deposits held,8834000000
2005,Deposits held,3479000000
2010,Deposits held,5966000000
2006,Deposits held,4287000000
2013,Deposits held,8232000000
2011,Deposits held,6082000000
2008,Advances received,4731000000
2014,Advances received,8855000000
2007,Advances received,4760000000
2009,Advances received,5132000000
2012,Advances received,8834000000
2005,Advances received,3479000000
2010,Advances received,5966000000
2006,Advances received,4287000000
2013,Advances received,8232000000
2011,Advances received,6082000000
2008,Borrowing,4731000000
2014,Borrowing,8855000000
2007,Borrowing,4760000000
2009,Borrowing,5132000000
2012,Borrowing,8834000000
2005,Borrowing,3479000000
2010,Borrowing,5966000000
2006,Borrowing,4287000000
2013,Borrowing,8232000000
2011,Borrowing,6082000000
2008,Unfunded superannuation liability and other employee entitlements,4731000000
2014,Unfunded superannuation liability and other employee entitlements,8855000000
2007,Unfunded superannuation liability and other employee entitlements,4760000000
2009,Unfunded superannuation liability and other employee entitlements,5132000000
2012,Unfunded superannuation liability and other employee entitlements,8834000000
2005,Unfunded superannuation liability and other employee entitlements,3479000000
2010,Unfunded superannuation liability and other employee entitlements,5966000000
2006,Unfunded superannuation liability and other employee entitlements,4287000000
2013,Unfunded superannuation liability and other employee entitlements,8232000000
2011,Unfunded superannuation liability and other employee entitlements,6082000000
2008,Other provisions,4731000000
2014,Other provisions,8855000000
2007,Other provisions,4760000000
2009,Other provisions,5132000000
2012,Other provisions,8834000000
2005,Other provisions,3479000000
2010,Other provisions,5966000000
2006,Other provisions,4287000000
2013,Other provisions,8232000000
2011,Other provisions,6082000000
2008,Other non-equity liabilities,4731000000
2014,Other non-equity liabilities,8855000000
2007,Other non-equity liabilities,4760000000
2009,Other non-equity liabilities,5132000000
2012,Other non-equity liabilities,8834000000
2005,Other non-equity liabilities,3479000000
2010,Other non-equity liabilities,5966000000
2006,Other non-equity liabilities,4287000000
2013,Other non-equity liabilities,8232000000
2011,Other non-equity liabilities,6082000000
