year,category,amount
2008,Taxation revenue,3986000000
2014,Taxation revenue,4910000000
2007,Taxation revenue,3695000000
2009,Taxation revenue,4286000000
2012,Taxation revenue,4691000000
2005,Taxation revenue,3385000000
2010,Taxation revenue,4602000000
2006,Taxation revenue,3577000000
2013,Taxation revenue,4717000000
2011,Taxation revenue,4768000000
2008,Current grants and subsidies,3986000000
2014,Current grants and subsidies,4910000000
2007,Current grants and subsidies,3695000000
2009,Current grants and subsidies,4286000000
2012,Current grants and subsidies,4691000000
2005,Current grants and subsidies,3385000000
2010,Current grants and subsidies,4602000000
2006,Current grants and subsidies,3577000000
2013,Current grants and subsidies,4717000000
2011,Current grants and subsidies,4768000000
2008,Sales of goods and services,3986000000
2014,Sales of goods and services,4910000000
2007,Sales of goods and services,3695000000
2009,Sales of goods and services,4286000000
2012,Sales of goods and services,4691000000
2005,Sales of goods and services,3385000000
2010,Sales of goods and services,4602000000
2006,Sales of goods and services,3577000000
2013,Sales of goods and services,4717000000
2011,Sales of goods and services,4768000000
2008,Interest income,3986000000
2014,Interest income,4910000000
2007,Interest income,3695000000
2009,Interest income,4286000000
2012,Interest income,4691000000
2005,Interest income,3385000000
2010,Interest income,4602000000
2006,Interest income,3577000000
2013,Interest income,4717000000
2011,Interest income,4768000000
2008,Other revenue,3986000000
2014,Other revenue,4910000000
2007,Other revenue,3695000000
2009,Other revenue,4286000000
2012,Other revenue,4691000000
2005,Other revenue,3385000000
2010,Other revenue,4602000000
2006,Other revenue,3577000000
2013,Other revenue,4717000000
2011,Other revenue,4768000000
