year,category,amount
2009,Services,25681000000
2012,Services,25637000000
2010,Services,25096000000
2011,Services,25431000000
2009,Sale of Goods,25681000000
2012,Sale of Goods,25637000000
2010,Sale of Goods,25096000000
2011,Sale of Goods,25431000000
2009,Rent of network facilities,25681000000
2012,Rent of network facilities,25637000000
2010,Rent of network facilities,25096000000
2011,Rent of network facilities,25431000000
2009,Construction contracts,25681000000
2012,Construction contracts,25637000000
2010,Construction contracts,25096000000
2011,Construction contracts,25431000000
2009,Advertising & directory,25681000000
2012,Advertising & directory,25637000000
2010,Advertising & directory,25096000000
2011,Advertising & directory,25431000000
2009,FOXTEL distribution,25681000000
2012,FOXTEL distribution,25637000000
2010,FOXTEL distribution,25096000000
2011,FOXTEL distribution,25431000000
2009,Rent from property,25681000000
2012,Rent from property,25637000000
2010,Rent from property,25096000000
2011,Rent from property,25431000000
2009,Miscellaneous ,25681000000
2012,Miscellaneous ,25637000000
2010,Miscellaneous ,25096000000
2011,Miscellaneous ,25431000000
2009,Interest,25681000000
2012,Interest,25637000000
2010,Interest,25096000000
2011,Interest,25431000000
