year,category,amount
2008,Financial assets,120857000000
2014,Financial assets,205153000000
2007,Financial assets,110319000000
2009,Financial assets,159282000000
2012,Financial assets,190402000000
2005,Financial assets,98548000000
2010,Financial assets,166125000000
2006,Financial assets,103530000000
2013,Financial assets,199301000000
2011,Financial assets,177687000000
2008,Non-financial assets,120857000000
2014,Non-financial assets,205153000000
2007,Non-financial assets,110319000000
2009,Non-financial assets,159282000000
2012,Non-financial assets,190402000000
2005,Non-financial assets,98548000000
2010,Non-financial assets,166125000000
2006,Non-financial assets,103530000000
2013,Non-financial assets,199301000000
2011,Non-financial assets,177687000000
